objid,ra,dec,u,g,r,i,z,photoZ,type
1237661056355468809,50.2705071961768,42.0209402057462,19.91715,18.35917,17.70494,17.41769,17.2721,0.028409,3
1237661059574530102,50.4165799187699,41.3605740485716,15.93801,13.99906,12.94145,12.40813,12.05,0.005463,3
1237661082662603133,49.8832023169681,40.5414962211071,20.82171,28.95861,19.21065,28.38063,26.77864,0.02215,3
1237661083199079030,49.3634408383771,41.4051889325591,16.22218,13.95058,13.00547,12.53106,12.15131,0.013683,3
1237661055818729284,50.2625773713511,41.5710455584095,21.91573,26.10787,24.35421,25.96185,24.13704,0.008524,3
1237661083199473440,50.2630738441212,40.934005315748,24.70328,25.00747,21.83787,23.95363,22.30197,0.00923,3
1237661055818728727,50.307014182777,41.6541888313237,18.73159,18.14182,17.98045,17.84652,17.71391,0.026956,3
1237661056355403286,50.0053076834508,42.1527887901216,25.80028,22.95703,22.05923,21.48096,22.00051,0.007516,3
1237661059574401104,50.1493604251982,41.4897766505089,25.28598,21.97156,21.71853,21.71279,23.02704,0.021658,3
1237661059574464850,50.2612945220004,41.4129009800656,27.68201,18.44837,17.85076,17.44752,17.38523,0.015406,3
1237661060111270212,50.4596513281779,41.8686716460175,24.77649,24.88605,22.89944,23.82496,22.0861,0.02592,3
1237661083199537710,50.5120808954457,40.8639246266818,16.12988,14.05756,13.00215,12.47116,12.15419,0.027182,3
1237661060111272950,50.4787364588244,41.8417536811678,24.27286,24.06172,25.1783,22.00085,22.13168,0.010422,3
1237661121314357392,49.4094855881015,40.6381065447307,23.61912,21.5098,22.0234,22.1356,22.08291,0.01545,3
1237661055818662238,50.096319408477,41.7132173808056,18.90686,16.97698,16.25978,16.04572,15.89033,0.029867,3
1237661059574598118,50.6424089050522,41.265400508556,22.47607,21.41317,20.29304,20.93703,19.62826,0.010782,3
1237661082662338818,49.292409962768,40.9453019109179,23.66102,25.38502,24.66948,22.88251,22.11502,0.022766,3
1237661083199471872,50.244730723644,40.9737236510992,15.82073,12.05564,12.03893,12.15897,12.61123,0.022537,3
1237661083199602773,50.5339393109144,40.8054353301249,24.63465,25.14813,22.35034,22.43401,22.44,0.027425,3
1237670456974378260,50.2438937299855,40.5791303346118,19.36194,17.87572,17.10154,16.74278,16.47513,0.020758,3
1237670960021176441,49.3734085520507,41.0674524873504,21.981,20.00519,19.84974,19.4161,19.11229,0.01514,3
1237661055281726232,49.7006243737533,41.4397674682699,19.56347,17.95432,17.43616,17.19077,17.26252,0.023565,3
1237661055281987768,50.1657134936866,41.0566097809523,14.41949,12.27788,11.68662,11.56275,11.84901,0.014643,3
1237661060648075536,50.5236068790287,42.2126566810406,24.26095,23.61507,23.87903,22.21491,22.211,0.023255,3
1237661082662470297,49.5923901181926,40.6380463070507,23.91429,23.149,24.3722,22.6826,23.23677,0.028398,3
1237661083199080104,49.2296767390062,41.4620773636282,25.06547,22.10191,21.74596,21.39034,21.85023,0.00989,3
1237661083199471882,50.2394138242664,40.9735268761126,24.23882,25.11435,22.25139,24.36172,22.82703,0.02213,3
1237670458048119007,49.2310427377371,41.1332657815945,23.9463,24.42091,22.59427,23.56769,22.7921,0.010953,3
1237670959484240217,49.8765165989954,40.7415940542321,18.21663,17.12607,16.89675,16.73877,16.65257,0.020384,3
1237670960021177307,49.5930084093782,41.0349300256411,24.16389,22.22297,21.53725,21.46841,22.24469,0.014487,3
1237661055281856922,50.0504417761902,41.3669861836565,15.75782,13.72082,12.76746,12.28035,11.93542,0.012488,3
1237661055818400355,49.5272363988552,42.0393642177473,14.60675,11.34739,10.68822,10.58234,10.86258,0.02393,3
1237661060111140897,50.118355526491,41.9031557640398,26.21024,20.89802,20.40914,20.18972,20.9758,0.028388,3
1237661060648010241,50.3434710819335,42.2506707170725,18.73626,17.47259,17.59811,16.79477,17.33872,0.028378,3
1237661083199078716,49.2385303233211,41.3567447372945,19.12832,17.6185,16.95093,16.67305,16.55279,0.018387,3
1237661055281725563,49.5360210720254,41.4286778874817,24.91233,23.45768,22.82292,24.05629,22.68002,0.025154,3
1237661055818335116,49.4382779204758,42.1777297649471,20.49285,18.51023,17.66459,17.33683,17.17303,0.018536,3
1237661059574333698,49.9671867685324,41.6480901991768,27.57187,20.48509,19.86358,19.61294,19.26376,0.026114,3
1237661060111271588,50.4011164383828,41.7516993621663,21.07634,26.28345,23.14964,23.12762,23.54489,0.024937,3
1237661060648140865,50.6051803106769,42.1374666428926,26.29238,26.98362,21.06636,26.99201,25.79371,0.02083,3
1237661083199143980,49.3714379652033,41.375513936949,16.91889,15.02352,14.12073,13.74583,13.37599,0.028393,3
1237661121851490635,50.3325861863702,40.5129288858343,23.55971,22.4525,25.25436,22.09955,23.51927,0.0141,3
1237661055281990065,50.2335922383228,41.0378417235028,23.45498,23.0399,23.21351,22.89864,22.59779,0.022841,3
1237661059574399449,50.1287835160517,41.5089567121297,17.14498,15.10455,14.1337,13.61741,13.24791,0.027237,3
1237661055818794148,50.4845860377325,41.5790996448894,25.15281,25.35547,22.64423,24.28586,22.90933,0.022027,3
1237661056355467748,50.3494821996546,42.2059236082745,21.31862,18.67661,18.51442,18.19269,17.58902,0.024577,3
1237661060111073636,49.9009572363545,42.0903469364156,24.9037,25.02548,22.92335,23.43024,22.80916,0.014661,3
1237661083199472342,50.3478990281817,40.9448675849185,19.2245,17.76665,17.14775,16.92032,16.80532,0.025318,3
1237661059574268635,49.8112613447724,41.6089092794585,14.6649,12.29491,11.5799,11.42619,13.68122,0.016301,3
1237661059574333718,50.0040438594261,41.6249728102574,12.37044,10.94788,13.8768,13.76051,13.35715,0.009233,3
1237661082662341497,49.349092534982,40.8361807433443,25.16654,24.28872,24.30155,21.98413,21.1574,0.00743,3
1237661083199275736,49.8107663379734,41.1414672853683,16.8588,14.7721,13.81482,13.29317,12.99254,0.024548,3
