ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
2MASXJ03204928+4122145,1237661059574464751,50.205482070789,41.3706843352631,3629,301,1,69,GALAXY,16.22347,14.37558,13.49027,13.07002,12.83826
2MASXJ03201328+4117122,1237661055281857617,50.0552790371618,41.2868743263484,3628,301,1,105,GALAXY,17.25154,15.77836,15.19951,14.94784,14.79616
2MASXJ03210424+4133199,1237661055818727970,50.2676412089476,41.5556280734172,3628,301,2,105,GALAXY,17.18305,15.35642,14.55866,14.18069,13.89278
2MASXJ03210142+4126039,1237661059574465600,50.2558101944956,41.4344626657157,3629,301,1,69,GALAXY,18.15562,16.40654,15.64051,15.28164,15.00525
2MASXJ03194676+4116132,1237661055281856829,49.9449358441035,41.270382598862,3628,301,1,105,GALAXY,19.55006,15.58562,14.87556,14.45899,14.33841
2MASXJ03185824+4142091,1237661059574268044,49.7427700514838,41.7023783449143,3629,301,1,66,GALAXY,16.20312,14.3799,13.5925,13.22618,12.92898
2MASXJ03210223+4124339,1237661059574464845,50.2592785128214,41.4094752213604,3629,301,1,69,GALAXY,16.68921,14.77602,13.95047,13.54261,13.2507
2MFGC02743,1237661055818662302,50.1376824405423,41.732256847018,3628,301,2,104,GALAXY,17.40452,15.79662,15.28152,15.02083,14.89567
UGC02673,1237661055281856813,50.0068229200445,41.2511539899184,3628,301,1,105,GALAXY,15.54756,13.57583,12.74921,12.32929,12.05189
2MASXJ03183887+4140080,1237661059574203221,49.662149427877,41.6689425894277,3629,301,1,65,GALAXY,17.19763,15.30539,14.51463,14.14094,13.85628
2MFGC02715,1237661059574203219,49.6476069503021,41.6670269558672,3629,301,1,65,GALAXY,15.83277,14.57396,13.96367,13.66267,13.57555
2MASXJ03182094+4127487,1237661055281725582,49.5872989276823,41.4635132168467,3628,301,1,103,GALAXY,17.04081,14.80046,14.00983,13.5872,13.42657
2MASXJ03181889+4128097,1237661055281725581,49.5788652899959,41.469367158355,3628,301,1,103,GALAXY,17.12354,15.31319,14.53606,14.11717,13.83935
2MASXJ03203209+4145305,1237661055818663051,50.1336678620696,41.7584707091653,3628,301,2,104,GALAXY,16.97725,15.20081,14.39254,13.98833,13.71025
CGCG540-087,1237661055281725940,49.5937534670164,41.4097756381396,3628,301,1,103,GALAXY,15.69447,13.91322,13.08879,12.67223,12.32411
2MASXJ03204603+4144055,1237661055818662522,50.191642619451,41.7349372552805,3628,301,2,104,GALAXY,17.06083,15.29329,14.50586,14.12572,13.85822
CGCG540-113,1237661059574465017,50.3368369796257,41.4600597367946,3629,301,1,69,GALAXY,16.12432,14.16685,13.3227,12.96735,12.64301
2MASXJ03190434+4113581,1237661083199275362,49.7679367111527,41.2328501966004,3634,301,5,107,GALAXY,16.95874,15.48714,14.44544,14.20352,14.02951
2MASXJ03212883+4132129,1237661055818793115,50.3700287078391,41.5369515116459,3628,301,2,106,GALAXY,16.67605,14.77525,13.9233,13.5295,13.25373
2MASXJ03182768+4119167,1237661122387968730,49.6152258832892,41.3213174252472,3643,301,6,63,GALAXY,18.58815,16.87557,16.11761,15.74539,15.51143
2MASXJ03203393+4113185,1237661055281923151,50.1414808228767,41.2218467088852,3628,301,1,106,GALAXY,18.40383,16.8037,16.05261,15.72327,15.47332
2MASXJ03213127+4132509,1237661055818793134,50.3802762291804,41.547453628995,3628,301,2,106,GALAXY,18.12299,16.52837,15.81606,15.48296,15.24732
2MASXJ03181800+4140307,1237661059574202928,49.5750012535279,41.6753256017887,3629,301,1,65,GALAXY,16.56126,15.19389,14.51338,14.20984,13.96522
2MASXiJ0318058+413452,1237661055281661215,49.5244020176062,41.5813582967438,3628,301,1,102,GALAXY,18.38949,16.61264,15.82296,15.48849,15.25165
2MASXJ03200718+4149583,1237670960021569639,50.0301282097025,41.8328072039197,5934,301,2,231,GALAXY,16.14342,14.3951,13.58568,13.19958,12.95563
CGCG540-115,1237661055818793331,50.3925238237887,41.5061613759929,3628,301,2,106,GALAXY,16.22347,14.4491,13.55323,13.10834,12.70712
2MASXJ03185439+4148111,1237661055818531427,49.7268858670535,41.8030385395747,3628,301,2,102,GALAXY,17.72101,15.82413,15.01667,14.62716,14.35988
2MASXJ03183170+4116259,1237661083199210512,49.631956125936,41.2740581745265,3634,301,5,106,GALAXY,16.90108,15.17058,14.38916,14.02152,13.74784
NGC1264,1237661055281660332,49.4981574474131,41.5203688607248,3628,301,1,102,GALAXY,15.75626,13.91285,13.09241,12.71128,12.42718
2MASXJ03195520+4110212,1237661055281857673,49.9798978192562,41.1726324626266,3628,301,1,105,GALAXY,18.43122,16.80076,16.08822,15.78234,15.56224
2MASXJ03180178+4135337,1237661055281660253,49.507330861447,41.5926931130778,3628,301,1,102,GALAXY,17.25342,15.59745,14.67204,14.20587,13.92296
2MASXJ03175762+4129496,1237661055281660630,49.4898628881974,41.4973067699498,3628,301,1,102,GALAXY,16.75231,14.98467,14.21187,13.84466,13.58899
NGC1293,1237661059574530101,50.4019434490639,41.3928118598398,3629,301,1,70,GALAXY,15.61761,13.68504,12.82134,12.42881,12.20722
2MASXJ03182297+4116077,1237661083199209781,49.5957550003853,41.2688988380477,3634,301,5,106,GALAXY,17.37276,15.59036,14.86687,14.53347,14.27591
2MASXJ03210882+4115109,1237661059574530716,50.2869381042702,41.2530385707562,3629,301,1,70,GALAXY,17.45904,15.73044,14.95595,14.59489,14.33621
2MASXJ03181640+4144057,1237661059574202785,49.568545187759,41.734902368592,3629,301,1,65,GALAXY,16.461,14.57925,13.71763,13.31055,13.02459
2MASXJ03193592+4109041,1237661083199340713,49.8996627481046,41.1511503531597,3634,301,5,108,GALAXY,16.50113,14.70956,13.91515,13.51224,13.20993
CGCG540-085,1237661055281660551,49.4628396692647,41.45082072367,3628,301,1,102,GALAXY,15.84707,14.03927,13.21882,12.79806,12.48895
2MASSJ03213780+4121280,1237661059574530116,50.4075544227028,41.3578114672719,3629,301,1,70,GALAXY,18.93113,16.94886,16.13287,15.77366,15.49474
NGC1294,1237661059574530102,50.4165799185563,41.3605740486041,3629,301,1,70,GALAXY,15.0923,13.3686,12.48141,12.05769,11.79348
2MASXJ03191458+4108291,1237661083199275736,49.8107663401083,41.1414672837447,3634,301,5,107,GALAXY,15.99827,14.13256,13.34758,12.93455,12.73026
2MASXJ03190715+4108330,1237661083199275747,49.7798434181445,41.1426340275538,3634,301,5,107,GALAXY,16.23947,15.12847,14.60855,14.324,14.11267
IC0312,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,15.66172,13.80228,12.93172,12.49517,12.12207
SDSSJ031808.40+414515.6,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,15.66172,13.80228,12.93172,12.49517,12.12207
SDSSJ031808.40+414515.7,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,15.66172,13.80228,12.93172,12.49517,12.12207
2MASXJ03180070+4117567,1237661083199144680,49.5028172967404,41.2990947945633,3634,301,5,105,GALAXY,17.88618,16.29728,15.58642,15.27148,15.02369
2MASXJ03215746+4133080,1237661055818794217,50.4895205204611,41.5521931394185,3628,301,2,106,GALAXY,17.48064,15.65435,14.84694,14.46502,14.18531
2MASSJ03181307+4148087,1237661059574137359,49.5545783767666,41.8025113829006,3629,301,1,64,GALAXY,18.89761,17.37875,16.79556,16.6078,16.32554
2MASXJ03180647+4147567,1237661059574138014,49.5269787347295,41.7991761645029,3629,301,1,64,GALAXY,18.07811,16.26329,15.44546,15.07263,14.7801
2MASXJ03173200+4124425,1237661083199143991,49.3832701530376,41.4116825064411,3634,301,5,105,GALAXY,17.0763,15.11273,14.24376,13.94424,13.70169
2MASXJ03191203+4105211,1237661083199275626,49.8001129048394,41.0892324939727,3634,301,5,107,GALAXY,16.47376,14.61914,13.83806,13.38747,13.06757
2MASXJ03172790+4129165,1237661055281659994,49.3661256858314,41.4880812811743,3628,301,1,102,GALAXY,16.34678,14.51327,13.70076,13.31803,13.04672
IC0313,1237661060111204787,50.2412948262008,41.8938503627283,3629,301,2,67,GALAXY,16.1946,14.11051,13.19303,12.67585,12.33273
2MASXJ03181953+4151218,1237661059574137345,49.5813214451,41.8559828361365,3629,301,1,64,GALAXY,17.62475,15.78668,14.97924,14.62591,14.34608
2MASXJ03220908+4127029,1237661055818858633,50.5378202470075,41.450777418286,3628,301,2,107,GALAXY,17.34352,15.5276,14.73989,14.3782,14.11476
2MASXJ03172788+4136465,1237661055281595012,49.3662782084635,41.6130051417239,3628,301,1,101,GALAXY,16.50854,14.4952,13.56861,13.11976,12.85206
2MASXJ03190609+4104571,1237661083199275630,49.7753493525707,41.082545874735,3634,301,5,107,GALAXY,16.54427,14.59674,13.70249,13.31919,13.05708
NGC1265,1237661059574137336,49.5651933081503,41.857709011357,3629,301,1,64,GALAXY,23.80197,24.50169,17.86826,17.85806,15.69773
NGC1260,1237661083199079030,49.3634408394467,41.405188931729,3634,301,5,104,GALAXY,15.38435,13.34104,12.55889,12.18876,11.90483
2MASSJ03215637+4117540,1237661059574531029,50.4849246057506,41.2983642792742,3629,301,1,70,GALAXY,18.38344,16.63396,15.91043,15.62137,15.39792
MCG+07-07-048,1237661083199143980,49.3714379671369,41.3755139354642,3634,301,5,105,GALAXY,16.09433,14.41988,13.67898,13.40671,13.12849
2MASXJ03194584+4158352,1237661060111074083,49.9410884069404,41.9764093262535,3629,301,2,65,GALAXY,16.59431,14.76638,13.94543,13.56215,13.24864
2MASXJ03173289+4117495,1237661083199144302,49.3869972160436,41.2969890446872,3634,301,5,105,GALAXY,16.89509,15.11182,14.33083,13.98408,13.71584
2MASXJ03221922+4126439,1237661055818858862,50.580227081671,41.4454066361421,3628,301,2,107,GALAXY,17.36082,15.5328,14.72665,14.34021,14.04678
2MASXJ03171766+4125172,1237661083199079603,49.3236841370695,41.4214466732543,3634,301,5,104,GALAXY,17.46364,15.78172,15.01874,14.65037,14.39513
2MASXJ03215149+4147500,1237661060111270442,50.4645521324912,41.797250846622,3629,301,2,68,GALAXY,17.30629,15.36263,14.43779,13.96349,13.63161
2MASSJ03212427+4108088,1237661055281988793,50.3513890519603,41.1358669689464,3628,301,1,107,GALAXY,18.11308,16.64916,15.91991,15.61397,15.39997
2MASXJ03190350+4158269,1237661055818531808,49.7646076986198,41.9741404379117,3628,301,2,102,GALAXY,17.12452,15.30243,14.50258,14.10906,13.86077
UGC02656,1237661083199275476,49.6812283711219,41.0724997398026,3634,301,5,107,GALAXY,16.14338,14.29717,13.46715,13.03698,12.76008
NGC1259,1237661083199079031,49.3219483148068,41.3854210818072,3634,301,5,104,GALAXY,15.98048,14.19459,13.34026,13.02733,12.68948
2MASXJ03171358+4126082,1237661083199078963,49.3067191833777,41.435505219133,3634,301,5,104,GALAXY,16.85237,15.17261,14.40645,14.05892,13.82142
2MASXJ03222447+4128469,1237661055818858761,50.6019037072527,41.4798532232123,3628,301,2,107,GALAXY,16.25258,14.43813,13.64091,13.21596,12.9076
2MASXJ03220983+4143389,1237661060111336458,50.5410992146467,41.7273450918087,3629,301,2,69,GALAXY,16.93332,15.14881,14.38732,14.06876,13.80485
2MASXJ03171317+4139032,1237661055281594509,49.3050585513371,41.6509542592923,3628,301,1,101,GALAXY,16.7075,14.86438,14.00836,13.62491,13.32511
2MASXJ03195440+4200526,1237661060111074117,49.9764795137487,42.0146657646622,3629,301,2,65,GALAXY,16.65437,14.85621,14.00921,13.57481,13.22116
IC0316NED01,1237661060111204890,50.3331335317799,41.9289843520376,3629,301,2,67,GALAXY,16.34607,14.70004,14.05799,13.72683,13.50505
2MASXJ03184727+4158500,1237661055818465917,49.6969855176877,41.9806120414406,3628,301,2,101,GALAXY,16.98494,15.38866,14.66355,14.33204,14.06565
IC0316,1237661060111204887,50.3329645562297,41.9318584310726,3629,301,2,67,GALAXY,15.51614,14.30044,13.75184,13.45362,13.15355
IC0316NED02,1237661060111204887,50.3329645562297,41.9318584310726,3629,301,2,67,GALAXY,15.51614,14.30044,13.75184,13.45362,13.15355
2MASXJ03175803+4154021,1237661059574137084,49.4917084123824,41.9004985954051,3629,301,1,64,GALAXY,17.00491,15.25225,14.4978,14.13486,13.86765
CGCG540-079,1237661055281594503,49.2651755689975,41.6336005137056,3628,301,1,101,GALAXY,17.50686,15.5789,14.67694,14.15914,13.84253
2MASXJ03183928+4159489,1237661055818465750,49.6637743826678,41.9971068173717,3628,301,2,101,GALAXY,17.23748,15.50995,14.7375,14.35402,14.0954
2MASXJ03170202+4137582,1237661055281594523,49.2583291008547,41.6329482606507,3628,301,1,101,GALAXY,19.6726,17.92875,17.04343,16.68602,16.51221
2MASXJ03183683+4101090,1237670457511249007,49.6536369146244,41.0192114930517,5817,301,2,244,GALAXY,16.66594,14.95782,14.23658,13.89362,13.65791
UGC02626,1237661083199078715,49.2490384325056,41.3565969989387,3634,301,5,104,GALAXY,16.15832,14.29547,13.46483,13.07523,12.76113
2MASXJ03222170+4114299,1237661059574595783,50.5904926781996,41.2415948866742,3629,301,1,71,GALAXY,16.68969,14.86449,14.07689,13.72207,13.51498
LCSBS0541P,1237661055281988410,50.3391547703146,41.0246258212553,3628,301,1,107,GALAXY,17.58548,15.99665,15.28094,14.95386,14.75708
2MASXJ03202564+4204137,1237661060111138987,50.1068904699536,42.0703538554828,3629,301,2,66,GALAXY,18.00684,16.3831,15.65455,15.34671,15.09198
UGC02639,1237661055818400274,49.460023581535,41.9675946575428,3628,301,2,100,GALAXY,16.21577,14.36405,13.55067,13.16377,12.89955
2MASXJ03172721+4155002,1237661059574072500,49.3634825294994,41.9166021596547,3629,301,1,63,GALAXY,17.03349,15.26051,14.47344,14.11335,13.83032
2MASXJ03221984+4108529,1237661059574596006,50.5828639622029,41.148055853671,3629,301,1,71,GALAXY,17.4164,15.62605,14.86663,14.53087,14.44653
