objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift
1237661060111138987,50.10689046995361,42.0703538554828,3629,301,2,66,GALAXY,18.97136,17.09279,16.16928,15.73701,15.36871,0.015649
1237661056355533240,50.428545134703796,42.047549548354795,3628,301,3,104,GALAXY,19.25638,17.3852,16.464570000000002,15.98718,15.65896,0.018213
1237661056355598960,50.694593423561,41.94123037525671,3628,301,3,105,GALAXY,19.12178,16.90386,16.0979,15.650529999999998,15.34898,0.02059
1237670960021111003,49.4702754916784,40.897244391608,5934,301,2,224,GALAXY,18.97111,17.034760000000002,16.14923,15.7111,15.345629999999998,0.021005000000000003
1237661059574661957,50.710845685495,41.0278399172547,3629,301,1,72,GALAXY,19.0986,17.21024,16.33185,15.87989,15.5562,0.020303
1237661121850901466,48.97213353885671,41.323306533449795,3643,301,5,60,GALAXY,18.84789,17.01526,16.07151,15.61266,15.27619,0.019887
1237661060111467225,50.9899069389105,41.5218425723484,3629,301,2,71,GALAXY,18.15503,16.49984,15.51726,15.17146,15.16235,0.017243
1237661060648075675,50.52266264340201,42.1701699644625,3629,301,3,67,GALAXY,18.13243,16.45594,15.50736,15.09521,14.95249,0.017633000000000003
1237661060111467604,50.985720568035,41.6383223170086,3629,301,2,71,GALAXY,18.84209,16.81793,15.832579999999998,15.35447,15.01279,0.016936
1237661121314291919,49.2479648290389,40.66998506509189,3643,301,4,64,GALAXY,18.50979,16.426560000000002,15.56998,15.06299,14.74714,0.01839729
1237663789029130582,118.266539485505,52.7431987405974,4264,301,5,114,GALAXY,18.78216,17.07302,16.28708,15.8987,15.59334,0.01846192
1237668297678586014,212.367558828384,17.662184962770898,5314,301,3,229,GALAXY,18.14689,16.4204,15.69145,15.344000000000001,15.07185,0.0180566
1237660764307783796,146.549821048418,37.7715907883127,3560,301,3,257,GALAXY,18.67807,17.017670000000003,16.28485,15.923279999999998,15.588239999999999,0.01727691
1237663785278505225,16.8475941688157,0.892710390098114,4263,301,6,228,GALAXY,18.403370000000002,16.75985,15.99134,15.589360000000001,15.290679999999998,0.01848736
1237663785278505260,16.8813684783679,0.8897494573832859,4263,301,6,228,GALAXY,18.27104,16.614720000000002,15.87452,15.52261,15.267970000000002,0.0176761
1237649918971084821,27.4754741897681,13.126662184591,1035,301,2,144,GALAXY,19.00817,17.13766,16.36818,15.99174,15.71176,0.01703279
1237667324334243849,193.999778775217,28.1869473587921,5087,301,6,269,GALAXY,18.076970000000003,16.32951,15.58836,15.210989999999999,14.907210000000001,0.01867495
1237679253052784751,15.978424308161099,-5.938764358737741,7865,301,1,21,GALAXY,18.643810000000002,16.99375,16.17296,15.73949,15.42256,0.01853699
1237679253595619454,29.6268948239164,-5.11111068224474,7865,301,2,112,GALAXY,18.38816,17.07985,16.146810000000002,15.674710000000001,15.30821,0.01629027
1237657612339839115,179.62392273661598,57.6002844775981,2826,301,4,275,GALAXY,19.32762,16.46501,15.72093,15.38445,15.516010000000001,0.01785663
1237662696502657253,242.834430276575,21.242080255426,4010,301,2,203,GALAXY,18.68362,16.90447,15.949000000000002,15.435570000000002,15.00978,0.01598907
1237661873487610053,216.876975449527,40.9637941862347,3818,301,5,326,GALAXY,17.89454,16.35509,15.6045,15.14016,14.796529999999999,0.01830162
1237661874024874020,218.167653839665,40.9542032819485,3818,301,6,332,GALAXY,17.93313,16.282870000000003,15.54894,15.19095,14.92095,0.01808808
1237668336860725798,241.110248291015,14.757062056603598,5323,301,4,85,GALAXY,18.068070000000002,16.47061,15.64913,15.234670000000001,14.89066,0.01737614
1237678892277563631,17.5499210744891,33.2319592797226,7781,301,1,52,GALAXY,19.072129999999998,17.06335,16.20512,15.801020000000001,15.371670000000002,0.01817708
1237654653104685147,134.219311788178,47.989897133696395,2137,301,4,234,GALAXY,18.45664,16.71836,15.8886,15.43551,15.06674,0.01788575
1237664834849603964,121.57972468934601,17.594748846622398,4508,301,1,52,GALAXY,18.04317,16.38484,15.647229999999999,15.28703,14.98422,0.0163688
1237664835387064724,122.529164167302,18.6383604627617,4508,301,2,61,GALAXY,18.28111,16.5298,15.59564,15.14448,14.762189999999999,0.01626238
1237664835925573867,125.63110444864701,20.9678945947089,4508,301,3,86,GALAXY,18.024,16.39956,15.63902,15.25651,14.98647,0.01557882
1237657874868666511,147.801754450685,44.0093109457277,2887,301,5,259,GALAXY,18.16726,16.71733,15.889870000000002,15.50143,15.12795,0.01571097
1237653650772852748,27.328925888378603,13.0478021517734,1904,301,1,328,GALAXY,18.87228,17.10238,16.219820000000002,15.782960000000001,15.46171,0.01781302
1237653650772918395,27.4743572919257,12.976054606921599,1904,301,1,329,GALAXY,18.92848,17.08135,16.24244,15.830520000000002,15.5321,0.01564876
1237662534361546788,240.333248612102,8.835939693212278,3972,301,4,110,GALAXY,18.817439999999998,16.745639999999998,15.92472,15.51643,15.210329999999999,0.01672787
1237667444048592912,194.721057338949,27.8134254983291,5115,301,5,149,GALAXY,18.11542,16.33924,15.5658,15.19905,14.88675,0.01842033
1237667444048723996,195.01561298036,27.964705679980998,5115,301,5,151,GALAXY,19.110529999999997,17.204810000000002,16.39346,16.02829,15.9141,0.01777885
1237667444048724291,195.077385694626,27.8155227011552,5115,301,5,151,GALAXY,18.722360000000002,16.94751,16.225579999999997,15.90957,15.65029,0.01788985
1237652901293785119,20.417149643834897,-9.16416354579268,1729,301,5,217,GALAXY,18.49953,16.72788,16.03839,15.682260000000001,15.429070000000001,0.01841301
1237663783667433571,15.7245147309601,-0.31970119476329306,4263,301,3,221,GALAXY,18.77262,17.0552,16.33438,15.96269,15.676110000000001,0.0181988
1237663783671300257,24.678726976887003,-0.348058608089618,4263,301,3,280,GALAXY,18.79965,17.156029999999998,16.40571,16.04241,15.767510000000001,0.01695847
1237665547820335337,225.090742748294,20.505567549652604,4674,301,1,146,GALAXY,18.19081,16.6878,15.8625,15.47645,15.154029999999999,0.01672008
1237653009194614868,317.97942688278,11.3793946249178,1754,301,6,61,GALAXY,18.6477,16.7566,15.87304,15.39034,15.00146,0.01770023
1237663782596051076,21.2189300683778,-1.24014217455597,4263,301,1,257,GALAXY,18.95885,16.992,16.1583,15.73647,15.426029999999999,0.01757734
1237663782596051087,21.226761407056898,-1.2578495916731598,4263,301,1,257,GALAXY,17.92589,16.27161,15.53478,15.156179999999999,14.89874,0.01649684
1237656494577483828,1.5817104542040898,14.327439796962901,2566,301,2,319,GALAXY,18.42231,16.67159,15.84922,15.43806,15.12021,0.01817357
1237656494577483851,1.62203918842664,14.1823697192656,2566,301,2,319,GALAXY,19.002129999999998,17.0367,16.1002,15.606979999999998,15.17634,0.01776226
1237663783130562587,15.807901067160198,-0.71237171264669,4263,301,2,221,GALAXY,18.14225,16.457279999999997,15.687570000000001,15.28629,15.126929999999998,0.0169473
1237660670346985714,137.022477706262,8.51067525692653,3538,301,4,129,GALAXY,17.82818,16.31472,15.51689,15.112720000000001,14.72666,0.01815467
1237660670350131246,144.259736361294,9.53998641975847,3538,301,4,177,GALAXY,18.14775,16.52226,15.79079,15.353779999999999,15.058910000000001,0.01852265
1237667782844809329,209.68921675628502,20.661855855034602,5194,301,4,617,GALAXY,17.88852,16.36796,15.53972,15.089720000000002,14.766020000000001,0.01613311
1237665567155421590,241.32709476348998,15.166318212184,4678,301,5,264,GALAXY,18.02804,16.29349,15.500879999999999,15.1108,14.835379999999999,0.0160129
1237661064950972673,144.63612023815398,9.520956908243779,3630,301,3,188,GALAXY,18.16624,16.71134,15.88365,15.46844,15.06758,0.01861119
1237667915953537344,176.015807787511,20.098919750986198,5225,301,4,79,GALAXY,18.113960000000002,16.37051,15.59815,15.23763,14.92516,0.0185901
1237658206122999911,188.03968485503898,51.03908802309171,2964,301,6,335,GALAXY,18.42406,16.474520000000002,15.784070000000002,15.401660000000001,15.06995,0.0179892
1237667444585857168,195.83980870432202,28.3090354738125,5115,301,6,155,GALAXY,17.94827,16.2401,15.50245,15.139560000000001,14.8897,0.01842575
1237668625704485109,203.48891463803102,17.7139851580605,5390,301,6,195,GALAXY,18.48599,16.47438,15.74095,15.40758,15.233310000000001,0.01583675
1237662637449805932,241.435722673512,8.84553491693376,3996,301,4,248,GALAXY,18.463379999999997,16.81567,15.96381,15.57005,15.43799,0.01542375
1237664836462313526,125.18439618707599,21.1296441758023,4508,301,4,84,GALAXY,19.05154,17.25039,16.47429,16.075779999999998,15.76699,0.0156621
1237664836462313734,125.143731673981,21.1054880020983,4508,301,4,84,GALAXY,18.54273,16.83858,16.10645,15.732029999999998,15.471020000000001,0.01686381
1237665429175271639,224.65192709212002,24.377967570269398,4646,301,4,198,GALAXY,18.22556,16.44751,15.72838,15.341460000000001,14.971020000000001,0.01736404
1237667733982085261,209.506128581436,19.6857454237281,5183,301,1,503,GALAXY,17.812070000000002,16.33925,15.523439999999999,15.09595,14.711820000000001,0.01728641
1237661068712476861,152.525765758858,12.0373023121113,3631,301,2,240,GALAXY,17.86771,16.265629999999998,15.53563,15.16874,14.86007,0.018233000000000003
1237662193461362704,210.430421850639,38.669944255047895,3893,301,1,306,GALAXY,18.21275,16.41623,15.66981,15.30825,15.04975,0.01806686
1237652944767746204,317.43009972181,11.3552627435742,1739,301,6,25,GALAXY,18.45581,16.865370000000002,16.07611,15.6693,15.410839999999999,0.01694573
1237667735595909320,217.457056362593,19.6507476849665,5183,301,4,552,GALAXY,18.215529999999998,16.66433,15.85426,15.44886,15.12076,0.01863411
1237651735220650152,181.328467342947,1.63757461626937,1458,301,1,377,GALAXY,18.806729999999998,17.153470000000002,16.41742,16.08934,15.790510000000001,0.01863603
1237651735757390015,180.989757300802,1.96089123509974,1458,301,2,375,GALAXY,18.51065,16.85615,16.100920000000002,15.74656,15.456220000000002,0.01850213
1237656568118509903,327.236353890647,-0.345563000744427,2583,301,3,162,GALAXY,17.881420000000002,16.35235,15.512820000000001,15.059289999999999,14.6714,0.01583428
1237661060647617563,49.3518194006301,42.881829406628796,3629,301,3,60,GALAXY,18.38944,16.51724,15.579279999999999,15.127979999999999,14.78232,0.01548665
1237654383587492024,133.760307474632,51.598700276687296,2074,301,6,112,GALAXY,18.22573,16.51039,15.7754,15.41973,15.15383,0.01739143
1237667912206254118,191.035940432477,25.416172141070398,5224,301,5,244,GALAXY,17.94911,16.25937,15.51583,15.15704,14.88279,0.01738691
1237661434856472633,220.64063714572103,41.8293414211488,3716,301,4,210,GALAXY,18.26292,16.42772,15.62244,15.251120000000002,14.955029999999999,0.01826881
1237668293912822025,176.206756604996,19.941098465851802,5313,301,4,112,GALAXY,18.70838,16.9541,16.22402,15.886270000000001,15.645560000000001,0.01778433
