ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
SDSSJ012302.82+333154.0,1237666214615254023,20.761779185879103,33.5316929429592,4829,301,3,165,GALAXY,24.88976,22.547220000000003,21.22929,19.86731,19.45327,0.708569,SPEC
2MASXJ01250257+3321275,1237666214078316883,21.260673363419002,33.357751069975,4829,301,2,164,GALAXY,20.498829999999998,18.33235,17.18921,16.7036,16.29777,0.125186,SPEC
SDSSJ012320.49+333329.3,1237678893352486078,20.835409360176,33.5581626142415,7781,301,3,70,GALAXY,24.35318,23.93432,21.61854,20.28481,19.55743,0.641748,SPEC
2MASXJ01225172+3331021,1237666214615253236,20.7156085417502,33.5171811078037,4829,301,3,165,GALAXY,17.935029999999998,16.2088,15.41186,15.00501,14.69524,0.01431,
2MASXJ01242006+3258335,1237666214078185813,21.0835924680725,32.9759692847084,4829,301,2,162,GALAXY,19.511770000000002,17.510270000000002,16.57091,16.13491,15.81434,0.075824,SPEC
KUG0120+332B,1237678893352419722,20.8111997925048,33.5627375065723,7781,301,3,69,GALAXY,18.27955,16.41281,15.47776,14.97295,14.60682,0.014757,
SDSSJ012209.90+332029.0,1237666214615188074,20.5412766710853,33.3413965620201,4829,301,3,164,GALAXY,26.2661,21.41315,19.72379,18.65567,18.124029999999998,0.522684,SPEC
2MASXJ01235018+3335062,1237678893352485011,20.9592010513981,33.5850598218546,7781,301,3,70,GALAXY,17.53399,15.67169,14.834389999999999,14.43805,14.10816,0.016625,
2MASSJ01242956+3332191,1237666214078382806,21.1232276872478,33.5386978523145,4829,301,2,165,GALAXY,22.37464,19.428720000000002,17.9397,17.386429999999997,17.18855,0.251788,SPEC
SDSSJ012345.63+333521.9,1237678893352485787,20.940144648162,33.5894254627351,7781,301,3,70,GALAXY,26.69547,22.34985,20.59562,19.47503,19.05746,0.512087,SPEC
SDSSJ012229.56+330143.7,1237666214615057064,20.6231946818911,33.0288263390115,4829,301,3,162,GALAXY,22.7548,22.63981,21.08371,19.800810000000002,19.32445,0.620289,SPEC
2MASXJ01250175+3304375,1237678892815745435,21.2571850151648,33.076928175303195,7781,301,2,72,GALAXY,19.832639999999998,17.59935,16.51416,16.03803,15.59346,0.108701,SPEC
2MASSJ01232146+3255280,1237678806383395184,20.839302488416198,32.924505465672,7761,301,1,131,GALAXY,21.63524,19.91626,18.33042,17.78806,17.40932,0.275821,SPEC
SDSSJ012317.78+333512.8,1237678893352420691,20.8241046892215,33.5869053419174,7781,301,3,69,GALAXY,24.98695,22.49912,20.9916,19.91052,19.46455,0.473077,SPEC
SDSSJ012201.51+331751.5,1237666214615123014,20.506293419493197,33.2976526399042,4829,301,3,163,GALAXY,25.621489999999998,21.70634,19.99146,19.188589999999998,18.6246,0.460826,SPEC
SDSSJ012213.96+330442.9,1237666214615056471,20.558184502510603,33.078611199628895,4829,301,3,162,GALAXY,24.5178,22.614929999999998,20.74774,19.59084,18.99449,0.6088060000000001,SPEC
SDSSJ012229.12+333009.7,1237666214615254339,20.621361765976697,33.5027038139356,4829,301,3,165,GALAXY,25.215970000000002,23.356479999999998,21.45097,20.09476,19.6546,0.707467,SPEC
SDSSJ012159.94+331640.8,1237666214615122956,20.4997819382237,33.2780029297705,4829,301,3,163,GALAXY,21.69024,20.71334,19.30365,18.50763,17.961570000000002,0.576414,SPEC
SDSSJ012159.87+331752.9,1237666214615123013,20.4994932185302,33.298034567677696,4829,301,3,163,GALAXY,24.15071,22.43036,20.55978,19.56694,19.03266,0.5167,SPEC
SDSSJ012218.70+330255.0,1237666214615056430,20.5779186175902,33.0486157758425,4829,301,3,162,GALAXY,22.37578,21.09028,20.151429999999998,19.38385,19.375999999999998,0.600196,SPEC
SDSSJ012454.69+332930.5,1237666214078383221,21.2278881919759,33.4918164734547,4829,301,2,165,GALAXY,23.81702,22.276970000000002,20.636979999999998,19.625770000000003,19.22801,0.511104,SPEC
SDSSJ012455.42+332931.4,1237666214078383220,21.230948501963,33.4920709336641,4829,301,2,165,GALAXY,24.85304,22.53187,20.80537,19.66003,19.33943,0.509612,SPEC
SDSSJ012437.37+333257.1,1237666214078383399,21.1557120297726,33.5492009475388,4829,301,2,165,GALAXY,23.14496,21.09861,19.174529999999997,18.52905,18.09727,0.351647,SPEC
SDSSJ012354.21+333630.2,1237678893352485908,20.975894401202602,33.6084039079712,7781,301,3,70,GALAXY,26.102420000000002,22.32682,20.34689,19.49064,18.97295,0.349864,SPEC
SDSSJ012522.40+331838.0,1237678806920463316,21.343348791861697,33.3105687112582,7761,301,2,134,GALAXY,24.35199,22.7381,21.062479999999997,19.95191,19.3887,0.6491899999999999,SPEC
SDSSJ012208.51+332542.4,1237666214615188337,20.5354605970695,33.428447020560796,4829,301,3,164,GALAXY,23.70801,21.93476,20.43834,19.47169,18.90908,0.54502,SPEC
2MASXJ01221171+3326573,1237666214615187800,20.548924198370102,33.4491779653176,4829,301,3,164,GALAXY,18.12462,16.396520000000002,15.571679999999999,15.15758,14.8588,0.014523,
WHLJ012506.1+332822,1237666214078382620,21.275553296895897,33.4728957492069,4829,301,2,165,GALAXY,21.3922,19.15328,17.81038,17.20532,16.8868,0.2298,SPEC
2MASXJ01250610+3328225,1237666214078382620,21.275553296895897,33.4728957492069,4829,301,2,165,GALAXY,21.3922,19.15328,17.81038,17.20532,16.8868,0.23300500000000002,SPEC
SDSSJ012244.08+333432.8,1237666214615254139,20.683688954477898,33.5758094215009,4829,301,3,165,GALAXY,24.33888,23.00544,20.97968,19.92991,19.55259,0.517279,SPEC
SDSSJ012527.21+331636.0,1237678806920462924,21.3634031757632,33.2766942127012,7761,301,2,134,GALAXY,24.66006,21.97108,20.660439999999998,19.56414,18.91283,0.542746,SPEC
SDSSJ012219.83+333036.6,1237666214615253876,20.582662968146103,33.5101817123773,4829,301,3,165,GALAXY,25.41783,22.33399,20.519170000000003,19.6764,19.27354,0.45136000000000004,SPEC
SDSSJ012152.21+331830.5,1237678892815483967,20.4675652714409,33.3084761027238,7781,301,2,68,GALAXY,23.35805,22.23551,20.40744,19.30913,18.74612,1.145081,SPEC
IC1680,1237678892815483037,20.463279095828398,33.282703666451,7781,301,2,68,GALAXY,16.728260000000002,14.80047,13.953560000000001,13.535179999999999,13.20079,0.014804,
SDSSJ012152.17+331900.0,1237678892815483964,20.4673962705835,33.3166636290316,7781,301,2,68,GALAXY,23.75003,22.666339999999998,21.08533,20.077270000000002,19.74908,0.52263,SPEC
SDSSJ012244.88+333508.9,1237666214615254172,20.6870337872685,33.5858357878093,4829,301,3,165,GALAXY,22.06464,22.1309,20.35143,19.277060000000002,18.7956,0.516367,SPEC
SDSSJ012246.51+333531.1,1237666214615254437,20.693830837221103,33.5919951348053,4829,301,3,165,GALAXY,26.050910000000002,22.58134,20.86637,19.92001,19.44345,0.521084,SPEC
SDSSJ012149.94+331306.8,1237678892815483656,20.4581073885587,33.218570970572,7781,301,2,68,GALAXY,23.01886,22.08509,20.48225,19.57086,18.9237,0.548021,SPEC
SDSSJ012159.55+330542.3,1237666214615056874,20.498138067154898,33.0951001923278,4829,301,3,162,GALAXY,23.13364,21.179920000000003,19.36911,18.72885,18.33546,0.370114,SPEC
SDSSJ012409.34+333741.3,1237678893352551100,21.0389467081425,33.6281496126763,7781,301,3,71,GALAXY,22.4264,21.50455,20.29225,19.12848,18.40618,0.566028,SPEC
2MASSJ01251518+3327155,1237678806920396932,21.3131537354645,33.4544019194253,7761,301,2,133,GALAXY,22.6193,20.72989,18.80529,18.177789999999998,17.82787,0.231237,SPEC
2MASSJ01251827+3326115,1237678806920397251,21.326187294299398,33.436548471106896,7761,301,2,133,GALAXY,22.65411,19.74661,18.24159,17.687720000000002,17.30126,0.22608000000000003,SPEC
2MASSJ01235081+3338433,1237678893352485338,20.9618263316755,33.645277229422,7781,301,3,70,GALAXY,22.72101,20.01228,18.36519,17.82089,17.423379999999998,0.24909,SPEC
2MASSJ01251475+3328002,1237678806920397236,21.311417313710898,33.4668290950006,7761,301,2,133,GALAXY,21.93769,19.323929999999997,17.95441,17.39859,17.01441,0.22894899999999999,SPEC
2MASXJ01252224+3325095,1237678806920397254,21.3428094276558,33.41916810695,7761,301,2,133,GALAXY,21.14603,19.44219,17.87869,17.34352,17.02263,0.25243899999999997,SPEC
SDSSJ012411.05+333800.8,1237678893352551128,21.0460708682614,33.633563095676195,7781,301,3,71,GALAXY,22.7446,21.98389,21.09845,20.024620000000002,19.40409,0.722748,SPEC
SDSSJ012147.40+331728.9,1237678892815483188,20.447539893567,33.2913738955963,7781,301,2,68,GALAXY,23.900270000000003,21.46645,20.52846,19.65934,19.26432,0.517618,SPEC
2MASSJ01225832+3337222,1237666214615319072,20.7430077540881,33.6228111210205,4829,301,3,166,GALAXY,25.61115,20.747770000000003,19.0249,18.35758,17.93451,0.324855,SPEC
SDSSJ012533.31+331511.7,1237678892815810649,21.3887989828826,33.253257035921,7781,301,2,73,GALAXY,26.52553,21.01689,19.62193,18.26517,17.87651,-0.000268,SPEC
SDSSJ012532.26+331210.0,1237678892815811249,21.384431562277502,33.2027979325751,7781,301,2,73,GALAXY,22.84915,21.96122,20.644029999999997,19.859189999999998,19.49812,0.494566,SPEC
SDSSJ012518.88+332659.6,1237678806920397716,21.328680268872102,33.449905955507695,7761,301,2,133,GALAXY,23.561420000000002,21.747629999999997,19.707060000000002,19.031679999999998,18.637610000000002,0.392246,SPEC
SDSSJ012504.16+333133.6,1237666214078382724,21.267376493546898,33.5260177626214,4829,301,2,165,GALAXY,24.9201,22.51311,20.925079999999998,19.9077,19.57518,0.552507,SPEC
2MASXJ01224309+3336112,1237666214615253564,20.679743389822303,33.6033033430461,4829,301,3,165,GALAXY,21.06131,19.13494,17.57741,16.998829999999998,16.6305,0.24945100000000003,SPEC
WHLJ012243.1+333612,1237666214615253564,20.679743389822303,33.6033033430461,4829,301,3,165,GALAXY,21.06131,19.13494,17.57741,16.998829999999998,16.6305,0.2495,SPEC
