objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift
1237667551415500929,156.434732057885,23.0414445013752,5140,301,5,38,GALAXY,17.44182,16.14195,15.48716,15.16904,14.93404,0.01792965
1237653009194614868,317.97942688278,11.3793946249178,1754,301,6,61,GALAXY,18.21062,16.41603,15.63744,15.21526,14.87124,0.01770023
1237666407378255975,21.9032253381648,-0.54618598012864,4874,301,2,567,GALAXY,18.26427,16.80517,16.13928,15.82755,15.59373,0.01863483
1237666407378714752,22.8599265684491,-0.454117569829655,4874,301,2,574,GALAXY,17.68737,16.0606,15.35511,15.0089,14.74899,0.01843679
1237678617410535616,343.268652103461,1.14446705956261,7717,301,1,218,GALAXY,17.38617,15.89548,15.23969,14.93436,14.70529,0.01542856
1237678617426788550,20.4387264929441,1.26506546652467,7717,301,1,466,GALAXY,19.3045,17.86914,17.173,16.85279,16.68731,0.01783181
1237678617426985167,20.8723772393906,1.21798736376983,7717,301,1,469,GALAXY,18.65925,17.27949,16.49138,16.1338,15.89323,0.01766607
1237657191981187126,5.1074279304392,0.826360837345114,2728,301,5,447,GALAXY,17.87573,16.68683,15.93769,15.5768,15.23002,0.01692081
1237658802039423085,190.755568096969,54.8960054157421,3103,301,4,178,GALAXY,18.00931,16.56632,15.89612,15.55086,15.27022,0.01614578
1237658802039554230,191.23630225642,54.9025352596297,3103,301,4,180,GALAXY,17.44851,15.877,15.23022,14.90596,14.67764,0.01652333
1237661873487610053,216.876975449527,40.9637941862347,3818,301,5,326,GALAXY,17.84378,16.31554,15.57714,15.11983,14.78141,0.01830162
1237661874024874020,218.167653839665,40.9542032819485,3818,301,6,332,GALAXY,17.88264,16.24352,15.52172,15.17073,14.90591,0.01808808
1237663547438924118,123.781775097167,52.5777218014595,4208,301,3,140,GALAXY,19.52587,17.91944,17.24348,16.93674,16.71472,0.01853173
1237663549056286868,142.04767052956,64.9344298821798,4208,301,6,243,GALAXY,17.53191,15.79521,15.20243,14.91452,14.6511,0.01735157
1237663716016717961,5.44087419243988,0.557591405446432,4247,301,5,145,GALAXY,18.90912,17.34648,16.66158,16.32671,16.06965,0.01779088
