ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
IC0313,1237661060111204787,50.2412948262008,41.893850362728294,3629,301,2,67,GALAXY,17.14068,14.806629999999998,13.697920000000002,13.05868,12.60417,0.014784,
2MASXJ03181953+4151218,1237661059574137345,49.5813214451,41.8559828361365,3629,301,1,64,GALAXY,18.46471,16.40472,15.427489999999999,14.965810000000001,14.58707,0.02833,
2MASXJ03220908+4127029,1237661055818858633,50.5378202470075,41.450777418286,3628,301,2,107,GALAXY,18.2543,16.19774,15.22594,14.74675,14.37607,0.0202,
2MASXJ03172788+4136465,1237661055281595012,49.3662782084635,41.6130051417239,3628,301,1,101,GALAXY,17.38022,15.13657,14.03379,13.472489999999999,13.10215,0.020464,
2MASXJ03190609+4104571,1237661083199275630,49.77534935257071,41.082545874735,3634,301,5,107,GALAXY,17.39963,15.2261,14.15896,13.66531,13.302489999999999,0.027989,
NGC1265,1237661059574137336,49.5651933081503,41.857709011357,3629,301,1,64,GALAXY,24.63466,25.11438,18.31263,18.19501,15.936639999999999,0.025137,
NGC1260,1237661083199079030,49.36344083944671,41.405188931729,3634,301,5,104,GALAXY,16.20445,13.944460000000001,12.99654,12.52062,12.14012,0.019190000000000002,
2MASSJ03215637+4117540,1237661059574531029,50.4849246057506,41.2983642792742,3629,301,1,70,GALAXY,19.17907,17.219379999999997,16.33503,15.94333,15.62619,0.016341,SPEC
MCG+07-07-048,1237661083199143980,49.3714379671369,41.3755139354642,3634,301,5,105,GALAXY,16.911270000000002,15.020970000000002,14.114939999999999,13.73729,13.362879999999999,0.0215,
2MASXJ03194584+4158352,1237661060111074083,49.9410884069404,41.9764093262535,3629,301,2,65,GALAXY,17.5089,15.43932,14.43351,13.93224,13.51104,0.016241,
2MASXJ03173289+4117495,1237661083199144302,49.3869972160436,41.2969890446872,3634,301,5,105,GALAXY,17.6945,15.70001,14.757439999999999,14.30756,13.9452,0.019466999999999998,
2MASXJ03221922+4126439,1237661055818858862,50.580227081671,41.4454066361421,3628,301,2,107,GALAXY,18.28402,16.21207,15.219320000000002,14.71379,14.31165,0.020204,
2MASXJ03171766+4125172,1237661083199079603,49.3236841370695,41.4214466732543,3634,301,5,104,GALAXY,18.28172,16.38366,15.45531,14.98141,14.62984,0.020834000000000002,SPEC
2MASXJ03215149+4147500,1237661060111270442,50.46455213249121,41.797250846622,3629,301,2,68,GALAXY,18.28086,16.079710000000002,14.957870000000002,14.35785,13.911220000000002,0.019503,
2MASSJ03212427+4108088,1237661055281988793,50.3513890519603,41.1358669689464,3628,301,1,107,GALAXY,18.819879999999998,17.169220000000003,16.2971,15.89998,15.60275,0.020584,SPEC
2MASXJ03190350+4158269,1237661055818531808,49.7646076986198,41.9741404379117,3628,301,2,102,GALAXY,17.96925,15.92397,14.953370000000001,14.450879999999998,14.103129999999998,0.015394,
UGC02656,1237661083199275476,49.681228371121904,41.0724997398026,3634,301,5,107,GALAXY,17.01401,14.93777,13.93176,13.389289999999999,13.00987,0.018303,
NGC1259,1237661083199079031,49.3219483148068,41.3854210818072,3634,301,5,104,GALAXY,16.799139999999998,14.79695,13.77714,13.3586,12.92435,0.0194,
2MASXJ03171358+4126082,1237661083199078963,49.3067191833777,41.435505219133,3634,301,5,104,GALAXY,17.66594,15.771220000000001,14.840620000000001,14.38814,14.054839999999999,0.016947999999999998,
2MASXJ03222447+4128469,1237661055818858761,50.6019037072527,41.479853223212295,3628,301,2,107,GALAXY,17.19025,15.128060000000001,14.1413,13.5954,13.17663,0.018463,
2MASXJ03220983+4143389,1237661060111336458,50.5410992146467,41.72734509180871,3629,301,2,69,GALAXY,17.87785,15.843779999999999,14.891370000000002,14.45096,14.07584,0.013886,SPEC
