ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
SDSSJ011036.24+320500.4,1237680315521565443,17.6510214960217,32.0834708766322,8112,301,4,40,GALAXY,24.64857,21.68581,19.918689999999998,18.87255,18.199579999999997,0.583328,SPEC
SDSSJ011055.78+323143.6,1237680316058436313,17.7324567195543,32.528785064655196,8112,301,5,40,GALAXY,23.88899,21.973860000000002,20.305989999999998,19.42533,19.045679999999997,0.455412,SPEC
CGCG501-117,1237680316058435684,17.7174842710398,32.59340370068,8112,301,5,40,GALAXY,16.16487,14.45721,13.712810000000001,13.320470000000002,13.079139999999999,0.018806,
SDSSJ010928.24+330142.8,1237680316595175987,17.367667493096302,33.028578015206,8112,301,6,38,GALAXY,24.16633,21.84592,20.12614,19.206789999999998,18.82085,0.46516,SPEC
SDSSJ010359.33+323739.9,1237680311771988565,15.9972138520484,32.627759250142496,8111,301,5,170,GALAXY,21.50006,20.27144,18.67605,18.12986,17.81138,0.282222,SPEC
WHLJ010351.3+323016,1237680311771988063,15.963729798299902,32.504358993657895,8111,301,5,170,GALAXY,23.51369,20.50774,18.8585,18.02992,17.73099,0.4568,SPEC
2MASXJ01062817+3140568,1237680310698508551,16.6174222662614,31.6823873514345,8111,301,3,174,GALAXY,18.84985,17.03414,16.05893,15.59518,15.24315,0.11996099999999998,SPEC
SDSSJ010551.38+314351.3,1237680310698443457,16.4640982191263,31.730920695318797,8111,301,3,173,GALAXY,24.28275,21.00611,19.22953,18.387929999999997,17.95741,0.444696,SPEC
SDSSJ011030.47+324807.3,1237680312309449508,17.6269961773266,32.802043805179,8111,301,6,179,GALAXY,23.33097,22.300629999999998,20.83481,19.77359,19.342579999999998,0.621943,SPEC
2MASSJ01040854+3206030,1237680311235117785,16.0356474833596,32.1007653675859,8111,301,4,170,GALAXY,23.87921,20.598129999999998,18.79423,18.25272,17.90061,0.335461,SPEC
2MASXJ01063216+3308558,1237680316594913450,16.6339912200155,33.1487134926858,8112,301,6,34,GALAXY,19.807479999999998,18.01099,16.99195,16.50441,16.12797,0.106624,SPEC
SDSSJ010742.62+313910.7,1237680310698639974,16.9276287698842,31.6529974938378,8111,301,3,176,GALAXY,22.26691,21.63638,20.224239999999998,19.42255,19.21954,0.40263000000000004,SPEC
2MASXJ01063088+3309098,1237680316594913449,16.628849609797598,33.1527486514013,8112,301,6,34,GALAXY,19.446679999999997,17.164460000000002,16.18666,15.75061,15.42697,0.108948,SPEC
SDSSJ010536.36+314504.0,1237680310698443327,16.4015075518268,31.751120609741395,8111,301,3,173,GALAXY,26.63966,21.94604,20.32484,19.52485,18.94726,0.443713,SPEC
NGC0394,1237678892277366994,17.108453548318302,33.1479486695782,7781,301,1,49,GALAXY,16.14085,14.29975,13.48194,13.07521,12.75813,0.014754,
SDSSJ011024.89+315859.7,1237680311235707833,17.603753345572603,31.983270503508802,8111,301,4,179,GALAXY,21.947979999999998,22.164920000000002,20.90073,19.85736,19.652479999999997,0.601058,SPEC
SDSSJ010926.37+314638.1,1237680314984629095,17.3598943888572,31.777262784668604,8112,301,3,39,GALAXY,22.8371,22.81325,20.84991,19.81811,19.614710000000002,7.001272999999999,SPEC
SDSSJ010850.50+330709.3,1237678892277433026,17.210445816242498,33.119282501399695,7781,301,1,50,GALAXY,23.51567,22.063470000000002,20.61431,19.793979999999998,19.44594,0.465812,SPEC
SDSSJ010752.91+313900.8,1237680310698640082,16.9704921287113,31.650240506112798,8111,301,3,176,GALAXY,24.29128,22.28519,20.426579999999998,19.35875,19.14611,0.602305,SPEC
SDSSJ010852.17+330707.7,1237678892277433305,17.2173883940063,33.1188487363283,7781,301,1,50,GALAXY,22.19135,21.23594,19.69129,18.737820000000003,18.399160000000002,0.5023850000000001,SPEC
2MASSJ01093321+3302139,1237680316595176035,17.388540907593697,33.0373361314985,8112,301,6,38,GALAXY,22.64126,20.60337,18.58205,17.872529999999998,17.369979999999998,0.449146,SPEC
2MASXJ01042894+3157236,1237680314984169638,16.120702308213698,31.956652476318602,8112,301,3,32,GALAXY,19.03455,17.09392,16.129820000000002,15.73,15.37631,0.105928,SPEC
2MASSJ01041450+3202049,1237680311235182941,16.0605566348896,32.0345278512954,8111,301,4,171,GALAXY,22.13014,19.65429,18.23409,17.664279999999998,17.3112,0.250894,SPEC
2MASSJ01034815+3231596,1237680311771988493,15.950537230276598,32.5331708312793,8111,301,5,170,GALAXY,23.7022,19.638479999999998,18.13839,17.55025,17.2473,0.291302,SPEC
SDSSJ010645.10+313913.3,1237680310698509180,16.6879208755981,31.6537159883159,8111,301,3,174,GALAXY,26.27575,21.82562,20.24831,19.10277,18.738970000000002,0.514676,SPEC
[M98j]014,1237680315521565525,17.692628846715,32.102283789598104,8112,301,4,40,GALAXY,21.89349,20.88936,19.86469,19.52058,19.66221,0.016548,
SDSSJ010345.30+322948.1,1237680311771988477,15.9387608161954,32.4967234443971,8111,301,5,170,GALAXY,22.412229999999997,21.22107,19.39486,18.61209,18.24413,0.456845,SPEC
SDSSJ010652.74+313832.8,1237680310698574326,16.7197947621705,31.6424475389139,8111,301,3,175,GALAXY,24.485210000000002,21.96184,20.2969,19.36249,19.03111,0.471474,SPEC
SDSSJ010630.96+313927.7,1237680310698509020,16.6290237882339,31.657697027736603,8111,301,3,174,GALAXY,23.03514,21.66302,20.00069,18.98961,18.47383,0.537825,SPEC
SDSSJ010916.53+330510.7,1237680316595175868,17.3188720387748,33.0863274074846,8112,301,6,38,GALAXY,25.290760000000002,21.921310000000002,20.21155,19.24258,18.68415,0.541284,SPEC
2MASXJ01094061+3147519,1237680314984628450,17.4195398448866,31.797918230929398,8112,301,3,39,GALAXY,21.5442,18.40299,17.2177,16.70351,16.381429999999998,0.154826,SPEC
SDSSJ010857.00+314215.5,1237680314984563348,17.2375072774961,31.7043188678135,8112,301,3,38,GALAXY,24.9976,21.18907,19.93478,19.050829999999998,18.76711,0.476621,SPEC
SDSSJ010749.26+313813.8,1237680310698640052,16.9552711983511,31.6371772091436,8111,301,3,176,GALAXY,23.3854,20.71204,19.014,18.3593,17.9539,0.39526100000000003,SPEC
SDSSJ010532.39+314425.2,1237680310698442778,16.3849689540054,31.740335954776803,8111,301,3,173,GALAXY,22.43721,22.19676,20.816270000000003,19.91274,20.4617,0.656436,SPEC
