No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
43	|	2MASX J03203087+4130325	|	 50.12871 	|	  41.50900 	|	G	|	  4484	|	 0.014957 	|	    	|	16.0:	|	  8.001	|	13	|	1	|	23	|	3	|	0	|	2	|	0
44	|	2MASX J03193765+4122490	|	 49.90679 	|	  41.38019 	|	G	|	  5505	|	 0.018363 	|	SPEC	|	18.1 	|	  8.133	|	2	|	0	|	15	|	2	|	1	|	2	|	0
45	|	UGC 02665	|	 49.86404 	|	  41.63531 	|	G	|	  7806	|	 0.026038 	|	    	|	15.0 	|	  8.374	|	31	|	2	|	33	|	8	|	7	|	7	|	0
46	|	NGC 1283	|	 50.06467 	|	  41.39867 	|	G	|	  6727	|	 0.022439 	|	    	|	14.73	|	  8.501	|	57	|	3	|	39	|	11	|	9	|	7	|	0
47	|	NSA 133302	|	 49.76987 	|	  41.46925 	|	G	|	  4027	|	 0.013433 	|	    	|	16.69	|	  8.515	|	8	|	0	|	2	|	1	|	2	|	0	|	1
48	|	2MASX J03190242+4133011	|	 49.76008 	|	  41.55028 	|	G	|	  4227	|	 0.014100 	|	    	|	16.6:	|	  8.868	|	9	|	0	|	19	|	4	|	3	|	2	|	0
49	|	ABELL 0426:[CGW2003] 16	|	 49.77500 	|	  41.43853 	|	G	|	  6577	|	 0.021938 	|	    	|	19.7B	|	  9.035	|	3	|	0	|	2	|	0	|	1	|	0	|	0
50	|	ABELL 0426:[CGW2003] 10	|	 49.75167 	|	  41.48400 	|	G	|	  5845	|	 0.019497 	|	    	|	20.2B	|	  9.096	|	2	|	0	|	2	|	0	|	1	|	0	|	0
51	|	2MASX J03203300+4134265	|	 50.13746 	|	  41.57408 	|	G	|	  3163	|	 0.010551 	|	SPEC	|	11.5K	|	  9.186	|	6	|	0	|	15	|	2	|	1	|	2	|	1
52	|	NGC 1270	|	 49.74229 	|	  41.47001 	|	G	|	  4965	|	 0.016561 	|	    	|	14.26	|	  9.694	|	87	|	6	|	44	|	25	|	24	|	7	|	0
53	|	NGC 1282	|	 50.05050 	|	  41.36700 	|	G	|	  2139	|	 0.007135 	|	    	|	13.87	|	  9.774	|	79	|	5	|	39	|	18	|	14	|	7	|	0
54	|	2MASX J03191772+4138391	|	 49.82392 	|	  41.64428 	|	G	|	  6211	|	 0.020718 	|	    	|	15.95	|	  9.780	|	27	|	1	|	29	|	8	|	9	|	3	|	0
55	|	MCG +07-07-070	|	 50.09175 	|	  41.64072 	|	G	|	  3749	|	 0.012505 	|	    	|	15.5 	|	 10.002	|	16	|	0	|	25	|	6	|	5	|	4	|	0
56	|	[TSK2008] 0344	|	 50.05942 	|	  41.36307 	|	GGroup	|	  2200	|	 0.007338 	|	    	|	     	|	 10.171	|	1	|	0	|	0	|	0	|	1	|	0	|	0
57	|	2MASX J03202094+4122254	|	 50.08733 	|	  41.37372 	|	G	|	  7020	|	 0.023416 	|	    	|	16.3:	|	 10.311	|	13	|	1	|	15	|	4	|	3	|	2	|	0
58	|	2MASX J03201009+4121043	|	 50.04217 	|	  41.35117 	|	G	|	  2069	|	 0.006901 	|	    	|	16.2 	|	 10.474	|	5	|	0	|	27	|	5	|	2	|	2	|	0
59	|	2MASX J03190207+4137121	|	 49.75879 	|	  41.61997 	|	G	|	  5549	|	 0.018510 	|	SPEC	|	17.8 	|	 10.789	|	2	|	0	|	19	|	4	|	2	|	2	|	0
60	|	2MASX J03194021+4119450	|	 49.91754 	|	  41.32919 	|	G	|	  6170	|	 0.020581 	|	    	|	16.3 	|	 11.051	|	9	|	0	|	23	|	5	|	2	|	2	|	0
61	|	2MASX J03201737+4120562	|	 50.07246 	|	  41.34892 	|	G	|	  5235	|	 0.017462 	|	    	|	16.32	|	 11.199	|	7	|	0	|	23	|	6	|	3	|	2	|	0
62	|	NGC 1271	|	 49.79700 	|	  41.35325 	|	G	|	  5751	|	 0.019183 	|	    	|	15.1 	|	 11.754	|	37	|	2	|	30	|	13	|	9	|	3	|	0
63	|	2MASX J03184479+4130411	|	 49.68667 	|	  41.51142 	|	G	|	  7177	|	 0.023940 	|	SPEC	|	17.5 	|	 11.861	|	2	|	0	|	18	|	4	|	2	|	2	|	0
64	|	NGC 1268	|	 49.68817 	|	  41.48869 	|	G	|	  3263	|	 0.010884 	|	    	|	14.2 	|	 11.876	|	46	|	4	|	27	|	11	|	7	|	7	|	0
