Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag
 2MASX J01225172+3331021      ,20.71583,33.51722, G      ,4290,0.01431,               
 2MASX J01242006+3258335      ,21.08363,32.97597, G      ,22731,0.075824, SPEC          
 SDSS J012246.74+330008.3     ,20.69479,33.00235, UvS    ,-143,-0.000476, SPEC          
 2MASS J01234105+3334206      ,20.92124,33.57239, *      ,138,0.00046, SPEC          
 KUG 0120+332B                ,20.81167,33.56278, G      ,4424,0.014757,               
 SDSS J012209.90+332029.0     ,20.54127,33.34139, G      ,156697,0.522684, SPEC          
 2MASX J01235018+3335062      ,20.95917,33.585, G      ,4984,0.016625,               
 2MASS J01242956+3332191      ,21.12322,33.5387, G      ,75484,0.251788, SPEC          
 SDSS J012328.26+325535.1     ,20.86776,32.92643, QSO    ,349698,1.166468, SPEC          
 NGC 0507 GROUP NED01         ,21.26631,33.41585, GGroup ,4407,0.0147,               
 SDSS J012420.50+333330.0     ,21.08542,33.55835, *      ,-65,-0.000217, SPEC          
 SDSS J012345.63+333521.9     ,20.94014,33.58943, G      ,153520,0.512087, SPEC          
 SDSS J012229.56+330143.7     ,20.62319,33.02882, G      ,185958,0.620289, SPEC          
 SDSS J012312.92+325606.3     ,20.80391,32.93506, UvS    ,-254,-0.000848, SPEC          
 2MASX J01250175+3304375      ,21.25721,33.07703, G      ,32588,0.108701, SPEC          
 2MASS J01232146+3255280      ,20.83931,32.92451, G      ,82689,0.275821, SPEC          
 SDSS J012317.78+333512.8     ,20.82411,33.5869, G      ,141825,0.473077, SPEC          
 SDSS J012458.35+330304.6     ,21.24313,33.05128, *      ,-166,-0.000555, SPEC          
 SDSS J012201.51+331751.5     ,20.5063,33.29765, G      ,138152,0.460826, SPEC          
 SDSS J012213.96+330442.9     ,20.55818,33.07861, G      ,182515,0.608806, SPEC          
 SDSS J012229.12+333009.7     ,20.62136,33.5027, G      ,212093,0.707467, SPEC          
 SDSS J012159.94+331640.8     ,20.49979,33.278, G      ,172805,0.576414, SPEC          
 SDSS J012159.87+331752.9     ,20.4995,33.29803, G      ,154903,0.5167, SPEC          
 SDSS J012218.70+330255.0     ,20.57792,33.04861, G      ,179934,0.600196, SPEC          
 SDSS J012454.69+332930.5     ,21.22789,33.49182, G      ,153225,0.511104, SPEC          
 SDSS J012455.42+332931.4     ,21.23095,33.49207, G      ,152778,0.509612, SPEC          
 SDSS J012208.57+332447.1     ,20.53573,33.4131, QSO    ,732760,2.444224, SPEC          
 SDSS J012437.37+333257.1     ,21.15571,33.5492, G      ,105421,0.351647, SPEC          
 SDSS J012354.21+333630.2     ,20.97589,33.60841, G      ,104887,0.349864, SPEC          
 SDSS J012522.40+331838.0     ,21.34335,33.31056, G      ,194622,0.64919, SPEC          
 SDSS J012208.51+332542.4     ,20.53546,33.42845, G      ,163393,0.54502, SPEC          
 2MASX J01221171+3326573      ,20.54917,33.44917, G      ,4354,0.014523,               
 WHL J012506.1+332822         ,21.27555,33.4729, GClstr ,68892,0.2298, SPEC          
 2MASX J01250610+3328225      ,21.27554,33.47294, G      ,69853,0.233005, SPEC          
 SDSS J012340.65+325300.1     ,20.91915,32.88342, UvS    ,-176,-0.000586, SPEC          
 SDSS J012244.08+333432.8     ,20.68369,33.5758, G      ,155076,0.517279, SPEC          
 SDSS J012527.21+331636.0     ,21.3634,33.27669, G      ,162711,0.542746, SPEC          
 SDSS J012219.83+333036.6     ,20.58266,33.51018, G      ,135314,0.45136, SPEC          
 SDSS J012152.21+331830.5     ,20.46756,33.30848, QSO    ,343287,1.145081, SPEC          
 IC 1680                      ,20.46333,33.2825, G      ,4438,0.014804,               
 SDSS J012201.25+330541.7     ,20.50524,33.09493, QSO    ,694944,2.318082, SPEC          
 SDSS J012152.17+331900.0     ,20.46739,33.31667, G      ,156681,0.52263, SPEC          
 SDSS J012244.88+333508.9     ,20.68703,33.58583, G      ,154803,0.516367, SPEC          
 2MASS J01233240+3252255      ,20.88489,32.87371, UvS    ,1,0.000005, SPEC          
 SDSS J012246.51+333531.1     ,20.69383,33.59199, G      ,156217,0.521084, SPEC          
 KUG 0119+328                 ,20.48167,33.13083, G      ,5366,0.017899,               
 SDSS J012149.94+331306.8     ,20.4581,33.21857, G      ,164293,0.548021, SPEC          
 SDSS J012159.55+330542.3     ,20.49814,33.0951, G      ,110957,0.370114, SPEC          
 SDSS J012409.34+333741.3     ,21.03894,33.62815, G      ,169691,0.566028, SPEC          
 2MASS J01251518+3327155      ,21.31315,33.4544, G      ,69323,0.231237, SPEC          
 2MASS J01251827+3326115      ,21.32619,33.43655, G      ,67777,0.22608, SPEC          
 WHL J012515.0+332726         ,21.31255,33.45713, GClstr ,104298,0.3479, PHOT          
 2MASS J01235081+3338433      ,20.96182,33.64528, G      ,74675,0.24909, SPEC          
 SDSS J012329.95+325159.8     ,20.8748,32.8665, UvS    ,-79,-0.000262, SPEC          
 2MASS J01251475+3328002      ,21.31142,33.46683, G      ,68637,0.228949, SPEC          
 RM J012514.7+332800.6        ,21.31142,33.46683, GClstr ,74691,0.249141, PHOT          
 2MASX J01252224+3325095      ,21.34279,33.41922, G      ,75679,0.252439, SPEC          
 SDSS J012411.05+333800.8     ,21.04613,33.63365, UvS    ,216674,0.722748, SPEC          
 SDSS J012147.40+331728.9     ,20.44753,33.29138, G      ,155178,0.517618, SPEC          
 2XMMI J012351.8+333851       ,20.96621,33.64752, XrayS  ,75758,0.2527,               
 2MASS J01225832+3337222      ,20.74301,33.62281, G      ,97389,0.324855, SPEC          
