ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ03210223+4124339,1237661059574464845,50.2592785128214,41.4094752213604,3629,301,1,69,GALAXY,17.56315,15.41905,14.41685,13.89626,13.50144
2MFGC02743,1237661055818662302,50.1376824405423,41.732256847018,3628,301,2,104,GALAXY,18.30601,16.45993,15.76261,15.38562,15.15431
UGC02673,1237661055281856813,50.0068229200445,41.2511539899184,3628,301,1,105,GALAXY,16.36506,14.17734,13.18547,12.6601,12.28644
2MASXJ03183887+4140080,1237661059574203221,49.662149427877,41.6689425894277,3629,301,1,65,GALAXY,18.08353,15.95723,14.9874,14.49942,14.11045
2MFGC02715,1237661059574203219,49.6476069503021,41.6670269558672,3629,301,1,65,GALAXY,16.71806,15.22535,14.43611,14.02091,13.82954
2MASXJ03182094+4127487,1237661055281725582,49.5872989276823,41.4635132168467,3628,301,1,103,GALAXY,17.95308,15.4717,14.49667,13.95635,13.68831
2MASXJ03181889+4128097,1237661055281725581,49.5788652899959,41.469367158355,3628,301,1,103,GALAXY,18.03625,15.98475,15.02314,14.4865,14.10121
2MASXJ03203209+4145305,1237661055818663051,50.1336678620696,41.7584707091653,3628,301,2,104,GALAXY,17.89664,15.87729,14.88318,14.36037,13.97403
CGCG540-087,1237661055281725940,49.5937534670164,41.4097756381396,3628,301,1,103,GALAXY,16.58808,14.57073,13.56567,13.03384,12.58049
2MASXJ03204603+4144055,1237661055818662522,50.191642619451,41.7349372552805,3628,301,2,104,GALAXY,17.9648,15.95843,14.98828,14.49152,14.11758
CGCG540-113,1237661059574465017,50.3368369796257,41.4600597367946,3629,301,1,69,GALAXY,16.99991,14.81111,13.78997,13.32167,12.89423
2MASXJ03190434+4113581,1237661083199275362,49.7679367111527,41.2328501966004,3634,301,5,107,GALAXY,17.89363,16.17503,14.94436,14.58183,14.29774
2MASXJ03212883+4132129,1237661055818793115,50.3700287078391,41.5369515116459,3628,301,2,106,GALAXY,17.55,15.4183,14.38968,13.88315,13.50447
2MASXJ03182768+4119167,1237661122387968730,49.6152258832892,41.3213174252472,3643,301,6,63,GALAXY,19.50088,17.54715,16.6047,16.11473,15.7733
2MASXJ03203393+4113185,1237661055281923151,50.1414808228767,41.2218467088852,3628,301,1,106,GALAXY,19.20843,17.39572,16.48199,16.04886,15.70417
2MASXJ03213127+4132509,1237661055818793134,50.3802762291804,41.547453628995,3628,301,2,106,GALAXY,18.99288,17.16843,16.28028,15.83497,15.49689
2MASXJ03181800+4140307,1237661059574202928,49.5750012535279,41.6753256017887,3629,301,1,65,GALAXY,17.43818,15.83912,14.98136,14.56469,14.21682
2MASXiJ0318058+413452,1237661055281661215,49.5244020176062,41.5813582967438,3628,301,1,102,GALAXY,19.31092,17.29062,16.31469,15.86135,15.51601
2MASXJ03200718+4149583,1237670960021569639,50.0301282097025,41.8328072039197,5934,301,2,231,GALAXY,17.07913,15.08358,14.08503,13.57822,13.2241
CGCG540-115,1237661055818793331,50.3925238237887,41.5061613759929,3628,301,2,106,GALAXY,17.10808,15.09999,14.0253,13.4663,12.96092
2MASXJ03185439+4148111,1237661055818531427,49.7268858670535,41.8030385395747,3628,301,2,102,GALAXY,18.61593,16.48261,15.49425,14.98929,14.61663
2MASXJ03183170+4116259,1237661083199210512,49.631956125936,41.2740581745265,3634,301,5,106,GALAXY,17.87351,15.88608,14.9081,14.41502,14.02683
NGC1264,1237661055281660332,49.4981574474131,41.5203688607248,3628,301,1,102,GALAXY,16.659,14.57708,13.57416,13.07657,12.68618
2MASXJ03195520+4110212,1237661055281857673,49.9798978192562,41.1726324626266,3628,301,1,105,GALAXY,19.17409,17.34736,16.48466,16.08295,15.77537
2MASXJ03180178+4135337,1237661055281660253,49.507330861447,41.5926931130778,3628,301,1,102,GALAXY,18.16837,16.27066,15.16031,14.57612,14.18546
2MASXJ03175762+4129496,1237661055281660630,49.4898628881974,41.4973067699498,3628,301,1,102,GALAXY,17.63958,15.63751,14.68537,14.2037,13.84355
NGC1293,1237661059574530101,50.4019434490639,41.3928118598398,3629,301,1,70,GALAXY,16.48117,14.32043,13.28219,12.77825,12.45498
2MASXJ03182297+4116077,1237661083199209781,49.5957550003853,41.2688988380477,3634,301,5,106,GALAXY,18.34083,16.30266,15.38349,14.9252,14.55366
2MASXJ03210882+4115109,1237661059574530716,50.2869381042702,41.2530385707562,3629,301,1,70,GALAXY,18.25986,16.31968,15.38332,14.91895,14.56597
2MASXJ03181640+4144057,1237661059574202785,49.568545187759,41.734902368592,3629,301,1,65,GALAXY,17.31374,15.20669,14.17271,13.65561,13.26925
2MASXJ03193592+4109041,1237661083199340713,49.8996627481046,41.1511503531597,3634,301,5,108,GALAXY,17.25726,15.2659,14.31866,13.81821,13.42686
CGCG540-085,1237661055281660551,49.4628396692647,41.45082072367,3628,301,1,102,GALAXY,16.7024,14.66862,13.67528,13.14418,12.73435
2MASSJ03213780+4121280,1237661059574530116,50.4075544227028,41.3578114672719,3629,301,1,70,GALAXY,19.77925,17.5729,16.58547,16.11686,15.73807
