ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
SDSSJ010759.25+322116.5,1237680311772381881,16.9969153713591,32.3546007775677,8111,301,5,176,GALAXY,22.5686,21.66319,20.12854,19.28841,19.01637
RMJ010802.2+322157.0,1237680311772381925,17.0089636882421,32.3658422366282,8111,301,5,176,GALAXY,22.14423,21.26466,19.73188,19.15065,18.85317
SDSSJ010710.42+323232.8,1237680311772250559,16.7934191202172,32.5424474124636,8111,301,5,174,GALAXY,25.419,22.50162,20.43834,19.50245,18.90992
NGC0373,1237680315521237039,16.7425419412169,32.3084469307853,8112,301,4,35,GALAXY,17.15763,15.2244,14.41152,14.02086,13.70336
2MASXJ01064452+3225074,1237680311772250198,16.6854659937829,32.4185860672176,8111,301,5,174,GALAXY,18.37703,16.79943,16.09405,15.74896,15.51344
SDSSJ010804.43+322813.1,1237680311772381906,17.0184798900634,32.4703269355336,8111,301,5,176,GALAXY,22.33992,22.20834,20.68377,19.63854,19.17982
WHLJ010657.9+323156,1237680311772250900,16.74108591651,32.5321474011345,8111,301,5,174,GALAXY,21.45973,21.17789,19.65291,18.94101,18.38151
SDSSJ010646.23+322920.0,1237680311772250189,16.6926447775678,32.4888993917112,8111,301,5,174,GALAXY,23.10627,21.74667,20.21161,19.41881,19.09507
SDSSJ010657.20+323235.8,1237680311772250883,16.7383380359435,32.5433005764561,8111,301,5,174,GALAXY,22.53444,21.50408,19.86853,19.00723,18.53069
2MASXJ01081297+3227128,1237680311772381270,17.053968533559,32.4536192706336,8111,301,5,176,GALAXY,17.03523,15.24981,14.47214,14.06811,13.80809
LCSBS0169O,1237680315521302864,16.9666914644569,32.2561078992514,8112,301,4,36,GALAXY,17.90406,16.35933,15.61268,15.26653,15.02099
SDSSJ010724.07+323545.5,1237680316058108633,16.8503168328085,32.5959865957699,8112,301,5,35,GALAXY,26.64656,22.0965,20.34981,19.49585,19.16749
SDSSJ010711.15+323536.1,1237680316058108528,16.796460259518,32.5933690758677,8112,301,5,35,GALAXY,25.87625,22.21423,20.38672,19.406,18.88436
SDSSJ010637.71+323003.7,1237680311772250703,16.6571474897617,32.5010356658089,8111,301,5,174,STAR,24.76884,21.26457,20.9036,20.8861,20.85835
SDSSJ010640.30+321831.4,1237680315521172054,16.6679565403614,32.3087474479773,8112,301,4,34,GALAXY,22.43766,21.97023,20.67685,19.76546,19.42656
SDSSJ010643.29+323159.5,1237680311772250774,16.6803905584067,32.5332111844428,8111,301,5,174,GALAXY,24.15223,22.3285,20.54545,19.7206,19.12329
SDSSJ010640.41+323205.2,1237680311772250723,16.6683827080906,32.5347982856537,8111,301,5,174,GALAXY,24.09154,21.81583,19.96957,19.09458,18.65401
WHLJ010640.4+323205,1237680311772250723,16.6683827080906,32.5347982856537,8111,301,5,174,GALAXY,24.09154,21.81583,19.96957,19.09458,18.65401
RMJ010640.4+323205.3,1237680311772250723,16.6683827080906,32.5347982856537,8111,301,5,174,GALAXY,24.09154,21.81583,19.96957,19.09458,18.65401
2MASXJ01081590+3229567,1237680311772381486,17.0661494960989,32.4990110334312,8111,301,5,176,GALAXY,18.33514,16.66942,15.94401,15.56867,15.34149
2MASXJ01065374+3234434,1237680311772250409,16.7241213345916,32.5786091476311,8111,301,5,174,GALAXY,17.85778,16.2794,15.60273,15.26195,15.03164
SDSSJ010803.11+323343.6,1237680316058174184,17.0141067114598,32.5616054853868,8112,301,5,36,GALAXY,23.23302,21.97269,20.65242,20.11413,19.63511
SDSSJ010642.21+323316.1,1237680311772250739,16.6759087065773,32.5544754537266,8111,301,5,174,GALAXY,21.15773,21.27925,19.94018,19.14084,18.65063
GALEXMSCJ010747.67+321315.7,1237680315521303198,16.948705171343,32.2213890154327,8112,301,4,36,GALAXY,19.7041,18.11028,17.68882,17.52368,17.5281
SDSSJ010806.60+323340.1,1237680316058173731,17.0275388590524,32.5611362378493,8112,301,5,36,STAR,20.20556,19.51585,19.42394,19.3763,19.03478
SDSSJ010634.50+323132.4,1237680311772250319,16.6437636239942,32.525673048779,8111,301,5,174,STAR,21.49362,20.20879,20.10709,20.13483,20.09264
2MASXJ01065749+3213214,1237680315521237275,16.7395035682317,32.2228239053675,8112,301,4,35,GALAXY,18.94812,17.26759,16.3999,15.94577,15.60334
SDSSJ010657.10+323613.0,1237680316058108340,16.7379369971509,32.6036364879797,8112,301,5,35,STAR,20.99626,20.54471,20.47837,20.43454,20.17307
IVZw038NOTES14,1237680311772381573,17.1083480233428,32.4312371676021,8111,301,5,176,GALAXY,18.43814,16.80233,16.09287,15.73316,15.54156
IVZw038NOTES01,1237680311772250292,16.6240388015854,32.5077596494137,8111,301,5,174,GALAXY,20.15441,18.22609,17.11155,16.65807,16.33635
SDSSJ010826.63+322435.5,1237680311772381585,17.1109786895294,32.4098837184572,8111,301,5,176,STAR,19.83406,19.43476,19.46629,19.28142,19.02593
SDSSJ010823.85+322840.2,1237680311772381548,17.0993905475821,32.4778483220357,8111,301,5,176,GALAXY,24.21496,20.86526,19.19234,18.52838,18.11873
