ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ01230849+3339122,1237666214615318926,20.7855516645069,33.6535040371603,4829,301,3,166,GALAXY,21.41645,19.52173,18.04177,17.44396,17.05212
WHLJ012308.5+333913,1237666214615318926,20.7855516645069,33.6535040371603,4829,301,3,166,GALAXY,21.41645,19.52173,18.04177,17.44396,17.05212
SDSSJ012234.63+333600.8,1237666214615254209,20.6442974401362,33.6002398181274,4829,301,3,165,GALAXY,23.01551,21.03858,19.32774,18.68419,18.30949
2MASSJ01231811+3250545,1237678892278743314,20.8254921712766,32.8485123828142,7781,301,1,70,GALAXY,21.13493,18.79587,17.31716,16.30383,15.67818
2MASXJ01235369+3250321,1237666214078120189,20.9738096839687,32.8422088072149,4829,301,2,161,GALAXY,20.39248,18.65243,17.46924,16.8652,16.35765
2MASXJ01253645+3321225,1237678806920462565,21.4017368237141,33.356269418143,7761,301,2,134,GALAXY,19.61465,17.96312,16.94716,16.48073,16.10054
SDSSJ012410.72+333942.8,1237678893352550944,21.0446774780495,33.6619098746297,7781,301,3,71,GALAXY,24.94587,22.45918,20.77238,19.64275,19.12729
SDSSJ012442.46+325350.7,1237666214078120577,21.176917969574,32.8974268196784,4829,301,2,161,STAR,22.0462,21.07049,20.89023,20.7121,20.33831
2MASSJ01254014+3317219,1237678806920462743,21.4170252579307,33.2894715833035,7761,301,2,134,GALAXY,21.61913,19.8731,18.35906,17.74734,17.40591
WHLJ012540.1+331722,1237678806920462743,21.4170252579307,33.2894715833035,7761,301,2,134,GALAXY,21.61913,19.8731,18.35906,17.74734,17.40591
SDSSJ012140.50+331853.5,1237678892815483506,20.4187888069292,33.3148816549367,7781,301,2,68,GALAXY,23.73796,21.28451,19.45378,18.50364,18.19295
RMJ012140.5+331853.6,1237678892815483506,20.4187888069292,33.3148816549367,7781,301,2,68,GALAXY,23.73796,21.28451,19.45378,18.50364,18.19295
SDSSJ012140.33+331903.6,1237678892815483500,20.4180728864734,33.3176648787529,7781,301,2,68,GALAXY,24.69028,22.51448,20.56374,19.67853,19.2977
