ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
2MASXJ03205256+4049185,1237661083199473010,50.2187891442065,40.8218377534423,3634,301,5,110,GALAXY,18.88764,17.03363,16.13513,15.77393,15.46344
2MASXJ03163000+4153056,1237661059574006613,49.1251846566668,41.8848529655116,3629,301,1,62,GALAXY,20.29791,18.14916,17.05436,16.63155,16.25452
2MASXJ03214584+4053310,1237661083199538263,50.4410055171141,40.8919141981377,3634,301,5,111,GALAXY,19.08546,17.26614,16.34478,15.96281,15.66615
2MASXJ03233737+4121585,1237661055818990429,50.9058912314647,41.3664650558866,3628,301,2,109,GALAXY,19.31809,17.59534,16.68827,16.25745,15.90002
2MASXJ03160735+4148487,1237661055281463492,49.0304654588595,41.8135750574743,3628,301,1,99,GALAXY,19.92977,17.68018,16.78837,16.39599,16.10402
2MASXJ03234843+4137135,1237661060111466837,50.9519056392247,41.6204392976554,3629,301,2,71,GALAXY,19.80599,17.63142,16.50465,16.0774,15.74996
2MASSJ03194241+4045072,1237670959484240787,49.926730741811,40.7520138182203,5934,301,1,224,GALAXY,18.59149,17.33161,16.74703,16.40939,16.22051
2MASXJ03162544+4156127,1237661059574007036,49.1061764911897,41.9367922614383,3629,301,1,62,GALAXY,19.87161,17.766,16.69741,16.28635,15.92977
2MASXJ03233837+4150195,1237661056355729567,50.9099611332671,41.8388566258744,3628,301,3,107,GALAXY,18.33934,24.29991,15.56481,15.06097,14.81562
2MASXJ03153728+4139432,1237661122387706712,48.9051884956524,41.6620638013847,3643,301,6,59,GALAXY,20.2573,18.10691,16.99734,16.59126,16.25588
WHLJ032157.4+421221,1237661060648076424,50.4891051617394,42.2059237248999,3629,301,3,67,GALAXY,19.23512,17.08915,16.01944,15.58034,15.22167
2MASXJ03215738+4212220,1237661060648076424,50.4891051617394,42.2059237248999,3629,301,3,67,GALAXY,19.23512,17.08915,16.01944,15.58034,15.22167
2MASXJ03182645+4044517,1237661082662470657,49.6101684683622,40.7477335966387,3634,301,4,108,GALAXY,19.37885,17.43438,16.3374,15.89357,15.53613
WHLJ032408.2+412937,1237661060111533152,51.034005650223,41.4934965564064,3629,301,2,72,GALAXY,20.18418,17.97684,16.86204,16.43216,16.05252
2MASXJ03152698+4128074,1237661083198948546,48.8623519242614,41.4685722331813,3634,301,5,102,GALAXY,19.52252,17.86105,16.82366,16.34267,15.99293
WHLJ031637.6+420500,1237661055818336146,49.1568125260046,42.0834657206546,3628,301,2,99,GALAXY,25.08286,21.2739,19.3396,18.80883,18.36991
WHLJ031557.0+410708,1237661121850967465,48.9876806171989,41.11884692486,3643,301,5,61,GALAXY,20.63873,18.55464,17.20069,16.71693,16.42624
2MASXJ03201435+4041012,1237670456974377057,50.0598063420221,40.6837511752356,5817,301,1,244,GALAXY,17.16046,15.31815,14.57825,14.23649,14.10799
