ObjectName,RA,DEC,Redshift,RedshiftFlag
2MASXJ03210424+4133199,50.26767,41.55558,0.015144,
2MASXJ03210142+4126039,50.25583,41.43444,0.013347,SPEC
2MASXJ03194676+4116132,49.94488,41.27036,0.015265,SPEC
2MASXJ03185824+4142091,49.74275,41.70247,0.014166,
2MASXJ03210223+4124339,50.25929,41.40944,0.016595,
2MFGC02743,50.13742,41.73233,0.024397,
UGC02673,50.00688,41.25117,0.014790,
2MASXJ03183887+4140080,49.66204,41.66892,0.014407,
2MFGC02715,49.64737,41.66700,0.025518,
2MASXJ03182094+4127487,49.58704,41.46353,0.016455,
2MASXJ03181889+4128097,49.57875,41.46931,0.011821,
2MASXJ03203209+4145305,50.13342,41.75861,0.016718,
CGCG540-087,49.59363,41.40969,0.021575,
2MASXJ03204603+4144055,50.19171,41.73492,0.017876,
CGCG540-113,50.33675,41.46003,0.014714,
2MASXJ03190434+4113581,49.76804,41.23283,0.018283,
2MASXJ03212883+4132129,50.37004,41.53694,0.019827,
2MASXJ03182768+4119167,49.61525,41.32131,0.018787,SPEC
2MASXJ03203393+4113185,50.14146,41.22178,0.022747,SPEC
2MASXJ03213127+4132509,50.38029,41.54747,0.012881,SPEC
2MASXJ03181800+4140307,49.57500,41.67525,0.016171,
2MASXiJ0318058+413452,49.52450,41.58133,0.019193,SPEC
2MASXJ03200718+4149583,50.03000,41.83283,0.014143,
CGCG540-115,50.39258,41.50617,0.023470,
2MASXJ03185439+4148111,49.72675,41.80308,0.014887,
2MASXJ03183170+4116259,49.63204,41.27397,0.017742,
NGC1264,49.49821,41.52028,0.010827,
2MASXJ03195520+4110212,49.97996,41.17258,0.016350,SPEC
2MASXJ03180178+4135337,49.50738,41.59269,0.014100,
2MASXJ03175762+4129496,49.49000,41.49722,0.015814,
NGC1293,50.40191,41.39282,0.013920,
2MASXJ03182297+4116077,49.59575,41.26886,0.013300,
2MASXJ03210882+4115109,50.28688,41.25303,0.015858,
2MASXJ03181640+4144057,49.56846,41.73492,0.022299,
2MASXJ03193592+4109041,49.89963,41.15111,0.019517,
CGCG540-085,49.46289,41.45077,0.014577,
2MASSJ03213780+4121280,50.40754,41.35779,0.021546,SPEC
NGC1294,50.41650,41.36056,0.021965,
2MASXJ03191458+4108291,49.81079,41.14144,0.026862,
2MASXJ03190715+4108330,49.77983,41.14258,0.026349,SPEC
IC0312,49.53587,41.75410,0.016605,
SDSSJ031808.40+414515.6,49.53502,41.75436,0.016498,SPEC
SDSSJ031808.40+414515.7,49.53501,41.75436,0.016422,SPEC
2MASXJ03180070+4117567,49.50288,41.29906,0.014040,SPEC
2MASXJ03215746+4133080,50.48946,41.55219,0.019390,
2MASSJ03181307+4148087,49.55456,41.80243,0.016127,SPEC
2MASXJ03180647+4147567,49.52696,41.79917,0.026658,SPEC
2MASXJ03173200+4124425,49.38333,41.41175,0.019870,
2MASXJ03191203+4105211,49.80013,41.08922,0.017042,
2MASXJ03172790+4129165,49.36625,41.48797,0.015600,
IC0313,50.24125,41.89383,0.014784,
2MASXJ03181953+4151218,49.58133,41.85603,0.028330,
2MASXJ03220908+4127029,50.53783,41.45078,0.020200,
2MASXJ03172788+4136465,49.36629,41.61297,0.020464,
2MASXJ03190609+4104571,49.77537,41.08256,0.027989,
NGC1265,49.56527,41.85775,0.025137,
NGC1260,49.36351,41.40522,0.019190,
