ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASXJ01062858+3134218,1.23768E+18,16.61920789,31.57289767,8111,301,3,174,GALAXY,19.55669,17.5557,16.56843,16.12734,15.76128
SDSSJ010518.23+314027.4,1.23768E+18,16.3259859,31.67428283,8111,301,3,172,STAR,25.76039,20.98647,20.35331,20.10313,20.23023
SDSSJ011033.00+325812.5,1.23768E+18,17.63752679,32.97016044,8112,301,6,39,GALAXY,22.63486,21.95659,20.28415,19.42359,18.86903
2MASXJ01043453+3147327,1.23768E+18,16.14394594,31.79247587,8111,301,3,171,GALAXY,19.50082,17.34584,16.32868,15.88313,15.47596
SDSSJ011112.21+324441.4,1.23768E+18,17.80090312,32.74484766,8111,301,6,180,GALAXY,22.3793,21.55015,19.70473,18.98895,18.58046
SDSSJ010620.49+331456.8,1.23768E+18,16.5854127,33.24912576,7781,301,1,46,GALAXY,22.75961,22.33584,20.18715,18.91587,18.40503
2MASXJ01042272+3149508,1.23768E+18,16.09474648,31.8306541,8112,301,3,32,GALAXY,20.44269,18.23026,16.99131,16.48176,16.0772
SDSSJ011102.03+324939.3,1.23768E+18,17.75849561,32.82759444,8111,301,6,180,STAR,22.47466,20.91389,20.04984,19.64036,19.11208
SDSSJ011055.27+325209.7,1.23768E+18,17.73033332,32.86936652,8111,301,6,179,STAR,21.0344,19.74811,19.51113,19.46273,19.42094
2MASSJ01064764+3316154,1.23768E+18,16.69845561,33.27098978,7781,301,1,47,GALAXY,21.70024,19.68078,18.23351,17.66913,17.29497
2MASSJ01113202+3222330,1.23768E+18,17.88329562,32.37577379,8111,301,5,181,GALAXY,21.75095,19.75574,18.34093,17.72348,17.39977
2MFGC00768,1.23768E+18,15.91932172,32.04788525,8111,301,4,170,GALAXY,17.11625,15.58566,14.77235,14.35038,14.0302
SDSSJ010333.98+324355.4,1.23768E+18,15.89160478,32.73206932,8150,301,5,126,GALAXY,22.83389,22.52508,21.11026,20.20465,19.94773
SDSSJ010556.04+313548.0,1.23768E+18,16.48350953,31.59667306,8111,301,3,173,GALAXY,23.28889,21.11579,20.16608,19.36888,19.24879
3C034Cluster,1.23768E+18,17.57727988,31.78880314,8112,301,3,40,GALAXY,24.24118,22.81715,19.53342,18.92848,18.53214
3C034,1.23768E+18,17.57727988,31.78880314,8112,301,3,40,GALAXY,24.24118,22.81715,19.53342,18.92848,18.53214
SDSSJ010952.94+330709.2,1.23768E+18,17.47062487,33.11922273,7781,301,1,51,GALAXY,22.35946,20.87889,19.09107,18.15583,17.77976
WHLJ010952.9+330709,1.23768E+18,17.47062487,33.11922273,7781,301,1,51,GALAXY,22.35946,20.87889,19.09107,18.15583,17.77976
SDSSJ010805.13+331645.5,1.23768E+18,17.02137163,33.27932047,7781,301,1,49,STAR,19.67412,19.15883,19.12797,19.18253,19.06754
SDSSJ010315.79+322155.6,1.23768E+18,15.81579288,32.36546246,8150,301,4,126,GALAXY,21.19627,20.73944,19.62607,18.65399,18.38685
SDSSJ011109.19+324834.4,1.23768E+18,17.78830476,32.80956438,8111,301,6,180,GALAXY,25.96723,23.06446,20.634,19.63957,19.38911
[HLX2013]J010314.20+322328.5,1.23768E+18,15.80919455,32.39126332,8150,301,4,126,STAR,18.67022,18.54385,18.26985,18.32964,18.42688
SDSSJ010747.40+313200.3,1.23768E+18,16.94753618,31.53344519,8111,301,3,176,STAR,18.99384,18.04202,17.68861,17.56426,17.53354
2MASSJ01064724+3132219,1.23768E+18,16.69684499,31.53939923,8111,301,3,175,GALAXY,21.56279,19.42448,18.02707,17.4563,17.07677
SDSSJ010349.86+325218.9,1.23768E+18,15.95776489,32.87192275,8111,301,6,170,GALAXY,26.6591,23.28344,21.03644,19.87629,19.54248
2MASXJ01113578+3229052,1.23768E+18,17.89916152,32.48470276,8112,301,5,41,GALAXY,19.45852,17.65287,16.61463,16.13139,15.76841
SDSSJ010331.77+320501.7,1.23768E+18,15.88240755,32.08381348,8111,301,4,170,GALAXY,26.81994,22.84013,20.93147,20.06604,19.66979
SDSSJ010313.99+322931.0,1.23768E+18,15.8083176,32.49197337,8111,301,5,169,GALAXY,21.75602,22.17871,20.31234,19.01077,18.52337
2MASXJ01050055+3141164,1.23768E+18,16.25236514,31.68795036,8111,301,3,172,GALAXY,19.81455,17.82848,16.77705,16.32735,15.97785
SDSSJ010711.30+313137.2,1.23768E+18,16.79712401,31.52701259,8111,301,3,175,GALAXY,24.15667,22.3878,20.49053,19.60598,19.07913
SDSSJ010341.46+324940.8,1.23768E+18,15.92275391,32.82800328,8150,301,5,126,GALAXY,22.55993,21.10387,19.34251,18.62882,18.06839
SDSSJ010454.86+314200.6,1.23768E+18,16.22859154,31.70019045,8111,301,3,172,GALAXY,26.13842,22.33975,20.92642,19.82775,19.39849
SDSSJ010522.76+331131.7,1.23768E+18,16.34486018,33.19214507,8112,301,6,32,GALAXY,21.66211,21.68182,20.18697,19.39581,18.70906
SDSSJ010352.94+325409.1,1.23768E+18,15.97062506,32.90253365,8111,301,6,170,GALAXY,25.12319,21.62167,19.74994,19.06725,18.54457
SDSSJ010626.14+331645.8,1.23768E+18,16.60895918,33.27938877,7781,301,1,46,GALAXY,22.50946,22.70802,21.15512,20.04349,19.77005
SDSSJ010856.83+331439.6,1.23768E+18,17.2368102,33.24434538,7781,301,1,50,STAR,22.76233,21.96274,21.79777,21.62167,21.20974
SDSSJ010602.61+313403.9,1.23768E+18,16.51091266,31.56777193,8111,301,3,174,GALAXY,24.05689,22.90117,21.16741,20.09698,19.74355
2MASSJ01035271+3254240,1.23768E+18,15.96944489,32.90660519,8111,301,6,170,GALAXY,23.70859,20.40241,18.62553,17.99049,17.62355
SDSSJ010530.89+313646.9,1.23768E+18,16.37871871,31.61305445,8111,301,3,173,GALAXY,26.16051,22.68152,20.9305,19.89426,19.62958
2MASXJ01090838+3313537,1.23768E+18,17.2849887,33.23175553,7781,301,1,50,GALAXY,19.53576,17.51267,16.46708,16.00232,15.58805
SDSSJ010735.39+331828.7,1.23768E+18,16.89747235,33.30799625,7781,301,1,48,GALAXY,24.63467,21.37189,19.35324,18.77823,21.08732
2MASSJ01100830+3143345,1.23768E+18,17.53450814,31.72627127,8112,301,3,40,GALAXY,20.41368,18.78738,17.49013,16.9773,16.6605
2MASSJ01042961+3303551,1.23768E+18,16.12339042,33.06538688,8150,301,6,127,GALAXY,22.07141,21.13563,19.2603,18.577,18.05119
SDSSJ010505.61+330955.5,1.23768E+18,16.27339289,33.16543259,8112,301,6,32,GALAXY,23.19176,22.62374,20.80126,19.78616,19.12747
SDSSJ010936.61+331057.8,1.23768E+18,17.40256666,33.18273146,7781,301,1,51,STAR,21.22758,20.69683,20.51621,20.53264,20.22383
KUG0105+330,1.23768E+18,16.98921246,33.30293224,7781,301,1,49,GALAXY,16.52473,15.5076,15.09144,14.87522,14.74547
SDSSJ010309.94+322737.2,1.23768E+18,15.7914223,32.46033866,8111,301,5,169,GALAXY,24.22031,21.4753,19.6071,18.88342,18.58381
SDSSJ010531.22+313630.9,1.23768E+18,16.3801197,31.60858673,8111,301,3,173,GALAXY,23.01238,21.20807,19.56052,18.781,18.34937
SDSSJ011118.70+320309.3,1.23768E+18,17.82795571,32.05260065,8111,301,4,181,GALAXY,23.26022,21.58703,20.94298,19.91269,19.67567
SDSSJ010642.84+331759.1,1.23768E+18,16.6785372,33.29976174,7781,301,1,47,GALAXY,24.25167,21.52405,19.75636,18.68634,18.29264
WHLJ010642.8+331759,1.23768E+18,16.6785372,33.29976174,7781,301,1,47,GALAXY,24.25167,21.52405,19.75636,18.68634,18.29264
2MASXJ01070881+3318385,1.23768E+18,16.78647161,33.31074266,7781,301,1,47,GALAXY,18.29983,16.39783,15.71077,15.35841,15.16438
SDSSJ010907.50+313512.5,1.23768E+18,17.28126597,31.58682866,8111,301,3,178,GALAXY,22.17414,21.34278,19.5272,18.81942,18.2584
