ObjectName,RA,DEC
SDSSJ010650.52+320528.0,16.71054,32.09112
2MASSJ01090067+3229322,17.25271,32.49233
SDSSJ010555.40+323326.2,16.48086,32.55728
SDSSJ010553.95+321538.8,16.47479,32.26078
SDSSJ010544.78+322001.4,16.43659,32.33373
SDSSJ010545.02+322959.1,16.43762,32.49977
SDSSJ010844.23+323845.2,17.1843,32.64589
SDSSJ010900.85+323255.5,17.25354,32.54876
SDSSJ010826.39+320710.0,17.10998,32.11947
WHLJ010842.6+323922,17.17739,32.65624
SDSSJ010842.57+323922.4,17.17739,32.65624
SDSSJ010725.55+320238.4,16.85649,32.04401
SDSSJ010554.73+323614.7,16.47806,32.60409
LCSBS0170P,17.072,32.08997
2MASXJ01085889+3214257,17.24546,32.2405
SDSSJ010843.65+323957.0,17.18188,32.66584
WHLJ010811.8+320414,17.04923,32.07065
SDSSJ010634.53+324458.6,16.64391,32.74963
2MASXJ01084354+3208490,17.18163,32.14694
SDSSJ010845.09+324024.6,17.18789,32.6735
SDSSJ010831.20+320626.3,17.13001,32.10731
SDSSJ010853.50+323818.4,17.22293,32.63844
2MASSJ01055091+3212577,16.46212,32.21607
SDSSJ010841.77+324122.8,17.17365,32.69008
SDSSJ010850.15+323934.5,17.20897,32.6596
NGC0374,16.77408,32.79511
SDSSJ010733.04+324801.7,16.8877,32.80049
CGCG501-077,16.39249,32.42975
2MASSJ01091525+3221516,17.31379,32.36431
SDSSJ010907.47+321509.6,17.28115,32.25267
SDSSJ010842.57+324157.1,17.17738,32.69921
SDSSJ010756.84+324731.1,16.98686,32.792
SDSSJ010728.51+320056.9,16.86881,32.01581
AT2017hqa,17.24667,32.63431
SDSSJ010753.53+324755.2,16.97193,32.79872
SDSSJ010532.05+322215.3,16.38256,32.37065
SDSSJ010907.63+321417.2,17.28181,32.23812
SDSSJ010856.90+321030.3,17.23708,32.1751
SDSSJ010540.14+323434.5,16.41725,32.57626
SDSSJ010630.59+320328.4,16.62748,32.05791
SDSSJ010827.03+320423.3,17.11263,32.07315
SDSSJ010543.48+321310.5,16.43105,32.21934
SDSSJ010609.56+324319.4,16.53984,32.72206
2MASXJ01053291+3217505,16.38713,32.29728
2MASSJ01052821+3226544,16.36756,32.44844
SDSSJ010751.44+324852.6,16.9642,32.81498
SDSSJ010617.13+320429.4,16.57139,32.07485
SDSSJ010539.06+323541.9,16.41275,32.59499
SDSSJ010535.88+323417.5,16.3995,32.57155
2MASSJ01052764+3221395,16.36499,32.3607
NSA128663,17.18292,32.10167
2MASSJ01091189+3235356,17.30003,32.59299
SDSSJ010604.33+320622.6,16.51804,32.10628
SDSSJ010833.32+324520.1,17.13885,32.75559
SDSSJ010653.84+324910.6,16.72433,32.81985
SDSSJ010909.96+323700.3,17.29152,32.61677
2MASXJ01091313+3235528,17.30483,32.59803
SDSSJ010916.75+321514.2,17.31982,32.25397
SDSSJ010551.26+324050.1,16.46265,32.68132
SDSSJ010542.41+323846.1,16.42672,32.64616
2MASSJ01091975+3234002,17.33228,32.56669
SDSSJ010824.70+320157.6,17.10293,32.03268
SDSSJ010924.53+321814.3,17.35224,32.30398
SDSSJ010902.93+320850.6,17.26221,32.14741
SDSSJ010536.44+321212.3,16.40184,32.20344
SDSSJ010531.57+323522.2,16.38155,32.58951
SDSSJ010915.92+321302.4,17.31657,32.21729
SDSSJ010520.70+322415.3,16.33627,32.40427
SDSSJ010741.41+315843.2,16.92258,31.97869
SDSSJ010926.65+323031.4,17.36107,32.50874
CGCG501-099,17.21783,32.09997
SDSSJ010545.04+320901.3,16.43768,32.15037
2MASXJ01065633+3158574,16.73475,31.98258
IVZw038NOTES15,17.32233,32.61133
2MASSJ01092015+3214098,17.33399,32.23609
2MASSJ01062978+3248361,16.62362,32.81014
2MASXJ01074708+3158337,16.94621,31.97603
SDSSJ010520.72+322926.4,16.33637,32.49069
SDSSJ010757.54+325031.0,16.98975,32.84197
2MASXJ01052218+3218305,16.34238,32.30844
SDSSJ010701.03+325059.3,16.75417,32.85
SDSSJ010651.40+315847.1,16.71418,31.97975
SDSSJ010616.27+324746.8,16.56782,32.79636
SDSSJ010934.68+322428.4,17.39454,32.40789
2MASXJ01053624+3209306,16.40096,32.15856
2MASXJ01065539+3157514,16.73079,31.96433
SDSSJ010755.82+325137.4,16.9826,32.86041
SDSSJ010755.31+315750.9,16.98046,31.96415
SDSSJ010931.38+321714.1,17.38076,32.28725
SDSSJ010828.27+320025.9,17.11781,32.00721
WBL028,17.29136,32.13294
2MASSJ01085004+3203315,17.2086,32.05876
UGC00714,17.30846,32.15133
SDSSJ010539.12+320754.9,16.41302,32.13192
SDSSJ010511.47+322315.9,16.29779,32.38776
SDSSJ010830.74+320007.8,17.12809,32.00218
SDSSJ010938.68+322223.8,17.41119,32.37328
SDSSJ010756.55+325217.8,16.98566,32.87162
SDSSJ010628.15+325030.7,16.61731,32.84187
2MASXJ01051073+3227165,16.29471,32.45467
SDSSJ010939.65+322652.1,17.41523,32.44781
2MASXJ01055245+3245397,16.46854,32.76111
WBL029,17.29252,32.71627
SDSSJ010516.19+323435.9,16.31747,32.57666
2MASXJ01084135+3200420,17.17233,32.01169
WHLJ010841.4+320042,17.17234,32.01161
ARK032,17.427,32.45139
SDSSJ010912.59+320635.1,17.30246,32.10976
SDSSJ010642.29+315657.8,16.67622,31.94941
2MASSJ01075689+3156155,16.9871,31.93763
2MASXJ01060204+3248197,16.50862,32.80542
SDSSJ010507.74+322952.4,16.28225,32.49791
AGC113901,16.34375,32.17944
SDSSJ010944.46+322435.4,17.43525,32.40985
2MASSJ01084377+3200251,17.18244,32.00691
SDSSJ010921.54+320827.8,17.33978,32.14107
SDSSJ010505.34+322922.7,16.27227,32.48965
SDSSJ010816.13+325233.7,17.06722,32.87603
AGC114001,16.46542,32.03861
SDSSJ010603.73+320018.0,16.51555,32.005
SDSSJ010547.34+324634.6,16.44729,32.77628
SDSSJ010856.42+320150.0,17.23509,32.03057
2MASSJ01060073+3200375,16.50311,32.0104
2MASSJ01093159+3238387,17.38165,32.64411
SDSSJ010918.02+320624.1,17.3251,32.1067
WHLJ010942.8+321639,17.42838,32.27748
2MASXJ01094280+3216390,17.42842,32.27744
SDSSJ010756.67+325414.3,16.98615,32.90398
SDSSJ010732.47+315432.1,16.88532,31.90893
WHLJ010732.5+315432,16.88532,31.90893
2MASXJ01073995+3254512,16.91646,32.91422
SDSSJ010505.71+323215.5,16.27383,32.53765
SDSSJ010652.77+315510.9,16.71989,31.91972
SDSSJ010637.99+325327.9,16.6583,32.89111
SDSSJ010946.95+321950.6,17.44564,32.33075
2MASXJ01094004+3213539,17.41692,32.23169
SDSSJ010601.01+315949.5,16.50424,31.99709
CGCG501-105,17.33513,32.72278
CGCG501-107,17.38867,32.17325
NGC0403,17.309,32.75214
SDSSJ010839.27+325117.0,17.16365,32.85474
SDSSJ010733.61+325538.4,16.88968,32.9279
SDSSJ010459.83+322004.8,16.24931,32.33468
SDSSJ010920.14+320517.8,17.33396,32.08828
SDSSJ010835.20+315719.6,17.14671,31.95547
SDSSJ010510.35+321152.3,16.29317,32.19788
2MASSJ01094846+3217122,17.45177,32.2866
SDSSJ010534.52+324537.4,16.39375,32.7606
SDSSJ010724.20+325603.3,16.85084,32.93427
SDSSJ010952.40+322059.7,17.46836,32.34994
PPS2092,17.39273,32.67446
SDSSJ010939.90+321124.3,17.41626,32.19009
SDSSJ010924.46+320557.7,17.35196,32.09938
SDSSJ010527.41+320523.4,16.36424,32.08985
WHLJ010527.4+320523,16.36424,32.08985
2MASXJ01055200+3200037,16.46667,32.00108
SDSSJ010748.77+325554.9,16.95324,32.93193
SDSSJ010817.17+315511.2,17.07157,31.9198
SDSSJ010803.27+325517.1,17.01365,32.92144
WHLJ010803.3+325517,17.01365,32.92144
2MASSJ01091422+3203124,17.30939,32.05354
SDSSJ010527.65+320509.9,16.36523,32.0861
UGC00692,16.9043,32.93773
2MASSJ01092333+3244115,17.34716,32.73654
SDSSJ010455.27+322221.5,16.23032,32.37266
SDSSJ010504.90+321321.3,16.27043,32.22259
SDSSJ010953.28+321947.6,17.47203,32.32991
SDSSJ010541.29+320150.5,16.42205,32.0307
SDSSJ010827.63+315556.6,17.11514,31.9324
2MASXJ01094398+3237039,17.43321,32.61778
SDSSJ010458.84+321707.1,16.2452,32.28532
SDSSJ010526.45+320504.4,16.36024,32.08458
SDSSJ010803.35+325536.0,17.01396,32.92668
2MASSJ01060544+3157240,16.52268,31.95664
2MASSJ01071587+3256597,16.81568,32.95003
SDSSJ010459.23+321453.1,16.24681,32.24809
WBL030,17.49244,32.38265
SDSSJ010828.70+325416.0,17.11959,32.90447
SDSSJ010826.80+315458.5,17.11167,31.91689
SDSSJ010814.55+325535.0,17.06066,32.9264
SDSSJ010507.63+320959.9,16.28182,32.16665
SDSSJ010836.85+315557.7,17.15357,31.9327
SDSSJ010958.71+322738.5,17.49466,32.46071
WHLJ010535.2+324750,16.39653,32.79735
2MASXJ01053516+3247506,16.39654,32.79739
UGC00724,17.49746,32.36836
SDSSJ010619.10+325424.0,16.57968,32.90695
2MASSJ01062134+3154540,16.58894,31.91501
SDSSJ010806.12+325626.4,17.02553,32.94067
SDSSJ010940.50+320832.6,17.41877,32.14239
SDSSJ010736.24+315155.3,16.90102,31.86538
2MASSJ01061852+3154584,16.57715,31.91623
2MASXJ01083144+3254369,17.131,32.91039
SDSSJ010448.65+322317.2,16.20271,32.38813
SDSSJ010910.25+324915.7,17.29273,32.82104
SDSSJ010453.40+321612.0,16.22252,32.27001
SDSSJ010733.59+315139.8,16.88998,31.86108
2MASXJ01050271+3238584,16.26125,32.64964
SDSSJ010533.76+324821.8,16.39071,32.80606
2MASXJ01092636+3246168,17.35987,32.77136
SDSSJ010808.10+325655.4,17.0339,32.94923
SDSSJ010820.35+325607.4,17.08482,32.93541
RMJ010806.9+325702.4,17.02863,32.95066
SDSSJ010453.42+323501.7,16.22259,32.58383
2MASXJ01054052+3159227,16.41883,31.98967
SDSSJ010828.89+315355.7,17.12041,31.89883
SDSSJ010609.38+325431.0,16.5391,32.90863
2MASSJ01094274+3207286,17.42828,32.12452
2MASSJ01055247+3252291,16.4686,32.87482
WHLJ010552.5+325229,16.4686,32.87482
SDSSJ010517.39+320404.0,16.3225,32.0678
SDSSJ010630.85+315239.1,16.62858,31.87755
2MASXJ01074714+3150562,16.9465,31.849
SDSSJ010951.88+321030.5,17.46618,32.17516
SDSSJ011006.40+322726.5,17.52668,32.45737
SDSSJ010947.96+324135.0,17.44987,32.69306
2MASXJ01055888+3254137,16.49529,32.90375
2MASSJ01100703+3230276,17.52933,32.50773
SDSSJ010627.32+325714.1,16.61387,32.95392
2MASSJ01100143+3214172,17.50597,32.2382
CGCG501-102,17.30619,31.97946
SDSSJ010810.49+325806.4,17.04374,32.96847
SDSSJ010942.45+324352.9,17.42688,32.73138
2MASXJ01054666+3156477,16.44442,31.94656
2MASXiJ0109481+324211,17.45087,32.70328
2MASSJ01044286+3218030,16.17867,32.30098
SDSSJ010627.41+315155.3,16.61425,31.86537
SDSSJ010440.32+322915.4,16.1677,32.48732
MAPSP0295-0642385,16.16875,32.33029
SDSSJ010529.57+315930.0,16.37323,31.99167
SDSSJ010848.79+325505.9,17.20377,32.91853
SDSSJ010957.18+321026.1,17.48826,32.17393
SDSSJ010730.50+314932.8,16.87712,31.8258
2MASSJ01093329+3202108,17.38881,32.03657
CGCG501-076,16.394,31.97115
SDSSJ010528.60+315923.8,16.36919,31.98997
SDSSJ011007.55+323345.9,17.53148,32.56278
SDSSJ010453.21+320933.6,16.22173,32.15935
SDSSJ010437.11+322705.6,16.15463,32.45156
2MASXJ01101257+3229057,17.55246,32.485
2MASXJ01054974+3254147,16.45717,32.90428
2MASXJ01043716+3229377,16.15479,32.49381
SDSSJ010705.03+314915.6,16.77099,31.82102
SDSSJ010435.36+322518.2,16.14733,32.42173
SDSSJ010955.81+320821.7,17.48256,32.13938
SDSSJ010707.49+314904.2,16.78125,31.81785
SDSSJ010830.34+315129.7,17.12644,31.85827
SDSSJ010436.19+323038.0,16.15099,32.51036
SDSSJ010642.04+325943.0,16.67519,32.9953
SDSSJ010438.35+323313.8,16.15982,32.55384
SDSSJ010649.08+330007.2,16.70452,33.00201
SDSSJ011016.22+322647.3,17.56761,32.44649
UGCl020,17.56783,32.46588
SDSSJ010935.68+320110.0,17.39871,32.01945
SDSSJ010437.11+323307.8,16.15464,32.55219
SDSSJ010903.39+325440.8,17.26417,32.91136
SDSSJ011000.20+320849.2,17.50084,32.147
SDSSJ010725.56+314814.9,16.85654,31.80416
SDSSJ011017.37+322747.8,17.57238,32.4633
SDSSJ011005.99+321130.9,17.52497,32.19193
SDSSJ010432.64+322123.0,16.13603,32.35641
SDSSJ011010.03+321251.5,17.54183,32.21431
SDSSJ010959.12+320728.1,17.49634,32.12449
2MASXJ01065910+3301194,16.74629,33.02214
WHLJ011007.2+321049,17.52998,32.18019
[WH2015]0084,17.52998,32.18019
RMJ011007.2+321048.7,17.52998,32.18019
SDSSJ010627.80+314944.1,16.61585,31.82894
SDSSJ010447.56+320825.4,16.19817,32.14042
CGCG501-114,17.58554,32.38784
2MASSJ01100701+3210287,17.52906,32.17459
SDSSJ010744.55+330139.1,16.93563,33.02754
2MASXJ01053203+3253175,16.38358,32.88831
SDSSJ011016.02+321557.0,17.56675,32.26584
SDSSJ010625.86+325948.6,16.60764,32.9969
SDSSJ010957.93+320615.4,17.49138,32.10429
SDSSJ011013.96+321349.0,17.5582,32.2303
SDSSJ010922.87+325252.9,17.34533,32.88137
SDSSJ011012.16+321140.7,17.55068,32.19467
SDSSJ010556.14+315203.7,16.48392,31.86771
2MASXJ01085584+3152136,17.23271,31.87039
SDSSJ010518.36+325147.2,16.32651,32.86312
SDSSJ011024.32+322120.4,17.60135,32.35567
SDSSJ011007.15+320816.4,17.52983,32.13791
SDSSJ010810.90+330135.1,17.04544,33.02644
SDSSJ011003.98+320646.9,17.51662,32.11304
SDSSJ011024.24+322942.6,17.60102,32.49518
2MASSJ01102051+3234063,17.58552,32.56848
SDSSJ010727.43+314633.8,16.86433,31.77607
SDSSJ010425.53+323046.4,16.10667,32.51265
SDSSJ010423.82+322830.5,16.09927,32.47514
SDSSJ010615.66+314915.8,16.56527,31.82108
SDSSJ010727.12+314612.7,16.86303,31.77021
CGCG501-074,16.25641,32.81312
SDSSJ010511.79+325129.8,16.29915,32.8583
2MASSJ01074125+3146079,16.92226,31.7688
2MASSJ01052231+3253503,16.34289,32.89727
SDSSJ011013.66+320907.2,17.55694,32.152
SDSSJ010826.46+314758.0,17.11026,31.79947
SDSSJ010507.55+325059.0,16.28147,32.84973
SDSSJ011011.72+320752.8,17.54887,32.13136
SDSSJ010817.03+330216.9,17.07096,33.03803
WHLJ010817.0+330217,17.07096,33.03804
SDSSJ011003.99+324456.9,17.51666,32.74916
SDSSJ010831.61+314813.3,17.13172,31.80372
SDSSJ010826.61+314745.5,17.1109,31.79598
IC1619,16.8435,33.06728
SDSSJ010418.83+322558.9,16.07849,32.43304
SDSSJ010756.41+314555.5,16.98505,31.76543
2MASSJ01102325+3213037,17.59692,32.21776
2MASXJ01102790+3216428,17.61629,32.27858
WHLJ011027.9+321643,17.61638,32.27865
SDSSJ011028.23+323245.8,17.61765,32.54608
2MASSJ01090970+3152024,17.29053,31.86721
WHLJ010909.7+315202,17.29053,31.86721
RMJ010909.7+315202.0,17.29053,31.86721
SDSSJ010750.60+314528.4,16.96086,31.75791
SDSSJ010820.04+330246.1,17.08351,33.04616
SDSSJ010814.64+314625.7,17.06101,31.77381
SDSSJ010532.53+315252.7,16.38555,31.88132
SDSSJ010956.63+324836.2,17.48597,32.81008
2MASSJ01100356+3203094,17.51487,32.05257
SDSSJ010810.86+330330.1,17.04528,33.05837
SDSSJ010723.23+314447.3,16.8468,31.7465
SDSSJ011013.45+320629.3,17.55607,32.10815
SDSSJ010439.94+320505.4,16.16643,32.08486
SDSSJ010911.95+325755.0,17.29982,32.96528
SDSSJ010915.98+315215.3,17.31659,31.87092
SDSSJ010423.32+323704.0,16.0972,32.61779
2MASSJ01045723+3250178,16.23846,32.8383
SDSSJ010514.90+325418.0,16.31209,32.90501
SDSSJ010427.14+323944.1,16.11394,32.66283
SDSSJ010417.48+323243.7,16.07286,32.54549
SDSSJ011017.63+320732.2,17.57347,32.12564
SDSSJ010414.38+321959.3,16.05994,32.33315
SDSSJ011012.30+320454.9,17.55125,32.08194
SDSSJ010954.80+315915.1,17.47834,31.98753
SDSSJ010430.88+320712.4,16.1287,32.12012
SDSSJ011021.74+320816.8,17.59059,32.138
SDSSJ010412.10+322029.4,16.05043,32.34152
SDSSJ010416.63+323450.5,16.0693,32.5807
SDSSJ011036.95+323139.9,17.65397,32.52778
SDSSJ010618.38+314607.4,16.5766,31.76875
WHLJ011000.0+320258,17.54154,32.04956
SDSSJ010642.60+314434.1,16.67754,31.74281
SDSSJ011033.51+321307.7,17.63965,32.21881
SDSSJ011011.27+320243.5,17.547,32.04542
[HLX2013]J010415.20+321359.2,16.06334,32.23313
2MASXJ01103144+3210527,17.63104,32.18131
SDSSJ010409.55+321732.1,16.0398,32.29227
SDSSJ011016.93+320352.5,17.57055,32.0646
SDSSJ010438.10+320203.9,16.15879,32.03444
SDSSJ010854.36+330218.6,17.22651,33.03852
SDSSJ010634.78+314404.0,16.64492,31.73446
SDSSJ010919.15+325917.7,17.32979,32.98826
2MASSJ01103415+3211154,17.64222,32.18771
2MASSJ01045126+3251506,16.21329,32.86439
SDSSJ010947.00+325435.6,17.44586,32.90991
SDSSJ010751.90+330636.9,16.96626,33.11026
WHLJ010751.9+330637,16.96626,33.11026
SDSSJ010842.57+330346.3,17.17741,33.06287
2MASSJ01052132+3151292,16.33888,31.85815
SDSSJ010554.69+314657.0,16.47789,31.7825
SDSSJ011004.88+315914.7,17.52036,31.98744
SDSSJ011019.82+324600.0,17.5826,32.76667
SDSSJ010749.91+330700.6,16.95798,33.11685
SDSSJ010408.37+321500.5,16.03491,32.25017
SDSSJ010609.62+314510.3,16.54012,31.75288
SDSSJ011043.52+323304.2,17.68136,32.55118
2MASSJ01065346+3306584,16.72286,33.11626
SDSSJ010909.42+314810.2,17.28926,31.80286
SDSSJ010558.52+330329.8,16.49437,33.05839
SDSSJ010950.27+315450.0,17.4595,31.9139
2MASXJ01042372+3205258,16.099,32.09042
SDSSJ010454.45+325343.7,16.22689,32.8955
2MASXJ01104774+3228382,17.699,32.47722
SDSSJ010426.05+324538.0,16.10857,32.76056
SDSSJ010706.96+314149.9,16.77902,31.69722
SDSSJ010400.73+322507.1,16.00305,32.41865
SDSSJ010414.20+324024.8,16.05917,32.67356
2MASXJ01102380+3203378,17.59929,32.06042
SDSSJ011021.19+320227.7,17.58832,32.04104
SDSSJ011050.84+322354.3,17.71147,32.39853
SDSSJ010359.19+322637.1,15.99665,32.44364
SDSSJ010724.14+330811.0,16.85096,33.1369
WISEJ010927.88+314956.0,17.36618,31.83227
2MASXJ01055674+3304077,16.4865,33.06881
SDSSJ011051.23+322533.3,17.71349,32.42592
2MASSJ01042638+3246449,16.11007,32.77907
NGC0383GROUP,17.67175,32.18961
SDSSJ011036.23+320809.4,17.65097,32.13595
SDSSJ010832.91+314329.1,17.13716,31.72475
SDSSJ010917.78+330134.6,17.32411,33.02628
SDSSJ010849.42+314439.7,17.20592,31.74436
SDSSJ010357.05+322257.9,15.98771,32.38275
SDSSJ010548.09+314548.1,16.4504,31.76337
NGC0397,17.1296,33.10919
KUG0107+326A,17.50158,32.90431
2MASXJ01063922+3141429,16.66342,31.69514
2MASXJ01042786+3248226,16.11617,32.80631
SDSSJ010401.50+323528.6,16.00628,32.59128
SDSSJ010419.49+320414.9,16.08121,32.07081
SDSSJ010637.88+314138.0,16.65785,31.69391
SDSSJ010823.38+314212.0,17.09744,31.70335
SDSSJ011053.18+321837.7,17.72159,32.31047
CGCG501-112,17.50625,32.90917
SDSSJ010356.69+323132.4,15.98625,32.52568
SDSSJ010632.31+314143.4,16.63464,31.69539
SDSSJ010409.94+320801.9,16.04144,32.13387
SDSSJ010800.91+314052.5,17.0038,31.68127
SDSSJ010842.04+330614.6,17.17518,33.10406
SDSSJ010628.72+314148.6,16.61971,31.69685
SDSSJ010906.99+314545.4,17.27913,31.76264
SDSSJ010842.39+314312.2,17.17665,31.72007
SDSSJ010929.62+314841.4,17.37344,31.81151
SDSSJ010843.49+330621.1,17.18123,33.10588
KUG0107+326B,17.51033,32.91383
SDSSJ011046.55+321057.8,17.69399,32.18272
2MASSJ01035376+3229435,15.97403,32.49546
SDSSJ011036.69+324417.4,17.65289,32.73818
SDSSJ010457.30+325709.4,16.23876,32.95264
2MASXJ01045572+3256506,16.23212,32.94739
2MASSJ01094634+3151157,17.44303,31.8544
SDSSJ011049.02+321201.7,17.70426,32.20049
NGC0392,17.09775,33.13361
CGCG501-092,17.01229,31.67494
SDSSJ011036.24+320500.4,17.65102,32.08347
SDSSJ011055.78+323143.6,17.73245,32.52878
CGCG501-117,17.71758,32.59342
SDSSJ010516.28+330051.7,16.31789,33.01448
SDSSJ010928.24+330142.8,17.36767,33.02857
SDSSJ010359.33+323739.9,15.99721,32.62776
WBL026,17.11783,33.13318
SDSSJ010612.87+314205.9,16.55366,31.70164
SDSSJ010350.48+322214.0,15.96035,32.37056
2MASSJ01074845+3309509,16.95194,33.16416
WHLJ010351.3+323016,15.96373,32.50436
2MASXJ01062817+3140568,16.61742,31.68244
SDSSJ010551.38+314351.3,16.4641,31.73092
