ObjectName,RA,DEC
2MASXJ03222930+4103009,50.62229,41.05031
UGC02642,49.47983,40.92664
2MASXJ03214217+4205549,50.42575,42.09864
2MASXJ03232697+4124235,50.86238,41.40647
2MASXJ03224672+4156285,50.69463,41.94122
LCSBS0531P,49.70583,40.82761
2MASXJ03162705+4110487,49.11275,41.18019
2MASXJ03175285+4053504,49.47021,40.89733
IC0308,49.06596,41.18075
2MASXJ03225058+4101397,50.71083,41.02778
UGC02686,50.25554,40.79775
2MASXJ03155331+4119242,48.97212,41.32333
2MASXJ03163444+4102506,49.14354,41.04742
2MASXJ03174508+4210522,49.4375,42.18108
UGC02664,49.87521,40.74219
UGC02698,50.512,40.86389
2MASXJ03235754+4131183,50.98989,41.52187
2MASXJ03155773+4112572,48.99054,41.21592
2MASSJ03220520+4210089,50.52163,42.16942
2MASXJ03235662+4138173,50.98592,41.63822
2MASXJ03183055+4215321,49.62725,42.25883
UGC02696,50.52137,42.17203
2MASSJ03220508+4210263,50.52117,42.17436
2MASXJ03235425+4141504,50.97604,41.69742
2MASXJ03235094+4116575,50.96229,41.28269
2MASXJ03163390+4201325,49.14133,42.02572
2MASSJ03161106+4106067,49.046,41.10181
2MASXJ03170749+4052522,49.28117,40.88122
UGC02616,48.96683,41.85736
CGCG540-090,49.68583,42.30111
UGC02654,49.67958,42.30058
