ObjectName,RA,DEC
2MASSJ01231811+3250545,20.82521,32.84849
2MASXJ01235369+3250321,20.97371,32.84225
2MASXJ01253645+3321225,21.40183,33.35633
SDSSJ012410.72+333942.8,21.04467,33.6619
SDSSJ012442.46+325350.7,21.17693,32.89743
2MASSJ01254014+3317219,21.41702,33.28947
WHLJ012540.1+331722,21.41702,33.28947
SDSSJ012140.50+331853.5,20.41878,33.31489
RMJ012140.5+331853.6,20.41878,33.31489
SDSSJ012140.33+331903.6,20.41806,33.31767
2MASSJ01232054+3250255,20.83554,32.84036
SDSSJ012538.91+331044.3,21.41215,33.17899
SDSSJ012302.78+333928.9,20.76159,33.65805
SDSSJ012447.27+333627.8,21.19697,33.60772
2MASSJ01241344+3250466,21.05589,32.84663
SDSSJ012137.57+331601.1,20.40657,33.26698
2MASXJ01220092+3330343,20.50375,33.5097
2MASSJ01230531+3340091,20.77211,33.66919
2MASSJ01252772+3327597,21.36566,33.46649
SDSSJ012405.98+325006.3,21.02493,32.83525
WHLJ012135.5+331602,20.39791,33.26735
SDSSJ012421.32+325044.7,21.08887,32.84577
SDSSJ012258.97+325035.3,20.74571,32.84316
SDSSJ012427.62+325104.5,21.11509,32.85128
2MASSJ01245967+3255046,21.24847,32.91794
SDSSJ012338.83+334143.8,20.91182,33.6955
SDSSJ012203.56+333231.1,20.51485,33.54198
SDSSJ012341.55+324855.9,20.92315,32.81555
SDSSJ012219.56+325450.8,20.58171,32.91433
SDSSJ012449.48+325307.7,21.2062,32.88548
SDSSJ012232.02+333758.6,20.63366,33.6324
2MASSJ01220844+3256417,20.53515,32.94498
2MASXJ01243617+3251204,21.15071,32.85575
NGC0483,20.48458,33.52097
SDSSJ012410.05+324913.9,21.04189,32.82055
SDSSJ012357.33+334204.5,20.9889,33.70127
SDSSJ012151.45+333007.5,20.46439,33.50209
SDSSJ012549.43+331612.9,21.45598,33.27027
SDSSJ012421.18+324940.4,21.08825,32.82791
SDSSJ012532.67+332857.6,21.38613,33.48268
SDSSJ012550.24+331330.7,21.45929,33.22542
SDSSJ012414.56+334142.6,21.06069,33.69532
2MASXJ01254263+3305165,21.42781,33.08779
SDSSJ012141.46+332750.9,20.42278,33.46416
SDSSJ012536.12+332847.7,21.40052,33.47994
SDSSJ012210.59+325452.9,20.54414,32.91471
SDSSJ012337.63+334308.7,20.90682,33.7191
SDSSJ012549.38+332147.2,21.45576,33.36312
SDSSJ012436.87+325013.9,21.15364,32.8372
SDSSJ012320.01+324742.9,20.83341,32.79525
IC1679,20.43583,33.49361
WHLJ012425.7+324858,21.10716,32.81613
2MASXJ01242569+3248575,21.10717,32.81606
SDSSJ012125.60+331704.0,20.3567,33.28446
SDSSJ012407.94+324743.0,21.03309,32.79528
SDSSJ012151.53+325827.7,20.46472,32.97438
2MASSJ01225886+3248194,20.7454,32.80554
SDSSJ012537.93+332927.9,21.40807,33.4911
SDSSJ012131.78+332455.4,20.38246,33.4154
SDSSJ012212.32+325334.8,20.55165,32.89358
SDSSJ012141.46+330122.7,20.42263,33.02295
SDSSJ012239.91+324948.1,20.66632,32.83006
SDSSJ012217.42+325236.9,20.57258,32.87692
SDSSJ012530.36+333234.5,21.37652,33.54292
SDSSJ012251.18+334219.7,20.71328,33.70547
SDSSJ012234.56+324958.1,20.64404,32.83283
SDSSJ012413.06+324721.4,21.05442,32.78929
2MASSJ01243136+3248233,21.13094,32.80651
SDSSJ012558.77+331401.8,21.49491,33.23386
SDSSJ012129.62+332535.1,20.37343,33.42642
2MASSJ01242790+3342437,21.11631,33.71217
SDSSJ012443.09+324921.4,21.17956,32.82262
2MASSJ01242139+3247186,21.08914,32.78851
2MASSJ01243631+3248235,21.15141,32.80657
SDSSJ012255.08+324725.2,20.72967,32.79054
SDSSJ012229.38+334055.2,20.62245,33.68201
WHLJ012229.4+334055,20.62245,33.68201
2MASXJ01255989+3319164,21.4995,33.32125
SDSSJ012149.59+325653.2,20.45662,32.94812
SDSSJ012124.61+330645.5,20.3526,33.11266
2MASXJ01244522+3341425,21.18838,33.69508
SDSSJ012448.19+324917.2,21.20083,32.82146
SDSSJ012118.10+331215.9,20.32545,33.20444
SDSSJ012519.77+325407.1,21.33238,32.90199
SDSSJ012602.64+331706.5,21.511,33.28514
SDSSJ012517.07+333724.2,21.32115,33.62341
SDSSJ012345.62+334526.9,20.94041,33.75643
SDSSJ012559.70+332238.0,21.49856,33.37737
CGCG502-074,21.04542,32.76619
2MASSJ01225656+3246385,20.73567,32.77745
SDSSJ012124.46+330504.1,20.3523,33.0849
2MASXJ01211822+3309310,20.32625,33.15861
2MASSJ01244009+3247558,21.16708,32.79876
SDSSJ012304.84+324602.0,20.77019,32.76724
SDSSJ012507.81+333929.5,21.28256,33.65819
2MASXJ01255535+3326144,21.48083,33.43722
SDSSJ012156.18+325354.4,20.48403,32.89847
SDSSJ012139.58+333251.0,20.41516,33.54811
2MASSJ01234338+3345589,20.9306,33.76657
WHLJ012114.3+331907,20.30948,33.31852
2MASSJ01214803+3255210,20.45021,32.92257
SDSSJ012117.66+330700.6,20.32468,33.11655
SDSSJ012434.86+324643.5,21.14526,32.77877
2MASSJ01243211+3344272,21.13387,33.74064
SDSSJ012445.32+324726.8,21.18887,32.7908
SDSSJ012601.53+332523.4,21.50638,33.42319
SDSSJ012606.08+332227.1,21.52573,33.37411
SDSSJ012140.51+325622.9,20.41874,32.93994
CGCG502-044,20.32275,33.09044
SDSSJ012312.12+334615.9,20.80053,33.77109
2MASSJ01211670+3325228,20.31967,33.42303
SDSSJ012117.27+330458.9,20.322,33.08303
SDSSJ012331.03+334700.4,20.87952,33.78314
SDSSJ012428.14+324512.2,21.11729,32.75341
2MASSJ01234280+3243333,20.92843,32.72578
SDSSJ012508.56+324926.9,21.28449,32.82438
SDSSJ012425.46+324457.4,21.1061,32.74929
SDSSJ012453.35+334322.0,21.22232,33.72279
SDSSJ012148.33+333712.9,20.45138,33.62027
RMJ012148.3+333713.0,20.45138,33.62027
SDSSJ012150.85+333748.7,20.46188,33.63022
SDSSJ012217.65+324826.4,20.57286,32.80719
IC1677,20.2796,33.2166
IC1677NED01,20.27956,33.21613
SDSSJ012313.91+334701.3,20.80798,33.7837
KUG0121+335,21.10378,33.76835
SDSSJ012106.90+332008.6,20.27879,33.33573
RMJ012106.9+332008.6,20.27879,33.33573
2MASXJ01243602+3345344,21.15004,33.75967
SDSSJ012555.80+333104.1,21.48252,33.51781
SDSSJ012200.82+325021.6,20.50345,32.83934
2MASSJ01234917+3242497,20.95494,32.71399
2MASSJ01231803+3242467,20.82523,32.71308
SDSSJ012612.57+330725.3,21.55239,33.12369
2MASSJ01210185+3315552,20.25778,33.26536
SDSSJ012334.00+324220.6,20.8917,32.70573
CGCG502-043,20.27347,33.3789
NGC0553,21.5525,33.405
2MASSJ01261478+3322415,21.56156,33.37828
SDSSJ012441.80+334556.0,21.17417,33.76558
SDSSJ012124.48+333250.9,20.35202,33.54748
2MASSJ01223590+3345490,20.64962,33.76374
2MASXJ01255803+3258564,21.49188,32.98244
2MASSJ01211520+3301380,20.31312,33.02753
CGCG502-047,20.39542,33.60028
SDSSJ012557.41+333227.5,21.48887,33.54114
SDSSJ012100.24+331716.0,20.25101,33.28779
SDSSJ012101.09+331941.1,20.25457,33.3281
SDSSJ012548.80+325531.4,21.45336,32.92539
SDSSJ012618.42+331011.1,21.57679,33.16977
2MASSJ01225733+3347525,20.739,33.79805
WBL039,20.95321,32.69389
SDSSJ012335.87+334910.6,20.89968,33.82006
SDSSJ012555.66+333408.9,21.48194,33.56916
SDSSJ012114.42+330012.2,20.3101,33.00341
NGC0513,21.11188,33.79945
SDSSJ012100.11+330741.3,20.25046,33.12814
SDSSJ012103.47+332553.8,20.26446,33.43162
2MASXJ01241840+3241595,21.07662,32.69989
SDSSJ012240.34+334726.2,20.66809,33.79062
NGC0528,21.39,33.67167
SDSSJ012126.80+333604.4,20.36169,33.60123
SDSSJ012054.23+331341.9,20.22599,33.22831
2MASSJ01230496+3349196,20.77071,33.82209
SDSSJ012054.76+331928.9,20.22818,33.32471
SDSSJ012454.12+334629.4,21.22552,33.77484
2MASSJ01224836+3242167,20.70155,32.70491
SDSSJ012610.93+330040.8,21.54555,33.01134
2MASSJ01225753+3241235,20.7398,32.68999
SDSSJ012626.53+332005.2,21.61058,33.33479
SDSSJ012055.45+332244.6,20.23106,33.37908
SDSSJ012116.37+325705.9,20.31822,32.95166
SDSSJ012232.94+324305.2,20.63728,32.71813
SDSSJ012107.01+330042.6,20.27922,33.01184
SDSSJ012553.23+333706.6,21.47182,33.61851
SDSSJ012055.78+330607.6,20.23277,33.10316
2MASSJ01223562+3242230,20.64836,32.70636
2MASSJ01214893+3248209,20.45384,32.80602
SDSSJ012425.79+334943.7,21.10749,33.82883
2MASSJ01230609+3240223,20.77526,32.67316
SDSSJ012210.45+334551.3,20.54357,33.76425
CGCG502-069,20.96667,32.65861
SDSSJ012105.60+333131.6,20.27337,33.52546
2MASXJ01214231+3341491,20.42621,33.69708
SDSSJ012116.19+333528.7,20.3175,33.59131
WBL040,21.0814,33.84367
2MASSJ01223791+3241325,20.65782,32.69215
SDSSJ012621.80+332828.8,21.59086,33.47468
CGCG502-039,20.22125,33.42556
SDSSJ012620.69+332919.2,21.58622,33.48868
SDSSJ012110.65+325643.8,20.2944,32.94551
SDSSJ012132.04+325044.3,20.38354,32.84565
SDSSJ012633.94+331402.3,21.64145,33.23399
SDSSJ012244.72+324044.9,20.68637,32.67914
SDSSJ012631.63+332214.4,21.63181,33.37068
SDSSJ012203.86+334601.7,20.51624,33.7666
UZC-CG023,21.0375,33.85778
SDSSJ012223.16+334820.9,20.59653,33.80582
SDSSJ012437.12+335003.5,21.15434,33.83445
2MASSJ01252558+3245585,21.35663,32.76623
CGCG521-017,21.00625,33.86611
SDSSJ012055.23+330214.4,20.23015,33.03734
SDSSJ012534.80+324725.7,21.39501,32.79049
SDSSJ012044.47+331118.0,20.18532,33.18835
SDSSJ012321.04+323837.6,20.83768,32.64379
2MASXJ01222561+3241511,20.60708,32.6975
SDSSJ012046.63+330801.5,20.19432,33.13375
2MASSJ01220470+3346398,20.5196,33.77773
2MASXJ01222353+3348541,20.59792,33.81528
2MASSJ01231557+3238331,20.81494,32.64279
SDSSJ012100.88+325849.6,20.25419,32.98002
SDSSJ012111.01+333550.9,20.29588,33.59748
2MASSJ01243717+3240083,21.15458,32.66894
SDSSJ012507.72+324301.2,21.28218,32.717
2MASSJ01210561+3256464,20.27346,32.94626
2MASSJ01205645+3300190,20.23529,33.00523
SDSSJ012056.08+333046.3,20.23369,33.51287
UGC00937,20.90621,32.63003
SDSSJ012626.86+330134.9,21.61287,33.02671
SDSSJ012110.84+333635.1,20.29519,33.60976
WHLJ012110.8+333635,20.29519,33.60976
RMJ012110.8+333635.1,20.2952,33.60976
2MASXJ01263174+3303588,21.63217,33.06633
SDSSJ012131.35+324855.8,20.38064,32.81551
SDSSJ012619.45+325743.9,21.58106,32.9622
SDSSJ012246.02+335127.8,20.69177,33.85773
2MASSJ01211411+3253006,20.30893,32.88385
2MASSJ01233774+3353138,20.90725,33.88711
SDSSJ012123.87+334026.8,20.34946,33.67413
SDSSJ012456.20+334944.5,21.23419,33.82905
SDSSJ012104.96+333510.4,20.27069,33.58623
B20117+33,20.17021,33.36067
SDSSJ012106.51+325507.1,20.27713,32.91864
SDSSJ012248.25+335156.1,20.70107,33.86565
SDSSJ012037.43+331446.8,20.156,33.24636
SDSSJ012050.05+330138.5,20.20742,33.02712
SDSSJ012100.31+325641.4,20.25132,32.94484
SDSSJ012617.34+325547.0,21.57227,32.92972
SDSSJ012558.76+334031.9,21.49485,33.67553
SDSSJ012609.27+333753.9,21.53864,33.63166
IC1673,20.19312,33.04493
SDSSJ012148.69+334607.8,20.4529,33.76884
SDSSJ012303.10+323736.1,20.76286,32.62691
SDSSJ012434.58+323830.5,21.14409,32.64181
SDSSJ012340.75+335358.7,20.91997,33.89946
2MASSJ01250631+3241163,21.27615,32.68789
3C041,21.68495,33.21978
SDSSJ012043.08+330338.1,20.17951,33.06059
2MASSJ01243509+3352293,21.14604,33.87473
SDSSJ012159.61+324238.9,20.49838,32.71083
2MASSJ01244335+3238488,21.18065,32.64697
SDSSJ012534.53+324431.2,21.3939,32.742
SDSSJ012208.60+324114.7,20.53587,32.68743
SDSSJ012039.72+332607.3,20.16551,33.43538
SDSSJ012514.64+324136.2,21.31103,32.69341
2MASSJ01231759+3236274,20.82309,32.60759
SDSSJ012558.80+334148.2,21.49504,33.69674
2MASXJ01213037+3343521,20.37642,33.73117
NGC0512,20.99917,33.90778
SDSSJ012134.34+324602.8,20.39309,32.76747
2MASXJ01203241+3320082,20.13508,33.33564
WHLJ012032.4+332008,20.13507,33.33556
SDSSJ012236.13+323813.1,20.65057,32.637
SDSSJ012346.74+335451.6,20.94477,33.91436
SDSSJ012449.19+335213.5,21.205,33.87043
2MASSJ01254234+3245130,21.42639,32.75368
WHLJ012542.3+324513,21.42639,32.75367
2MASSJ01243939+3237426,21.16399,32.62845
SDSSJ012035.49+330606.4,20.1479,33.10178
2MASSJ01232954+3235389,20.87303,32.59458
SDSSJ012650.79+331136.3,21.71166,33.19342
SDSSJ012127.85+334439.7,20.36604,33.74437
MCG+05-04-050,21.05037,32.59386
SDSSJ012259.05+335445.5,20.74604,33.91266
2MASSJ01220319+3240310,20.5133,32.67556
SDSSJ012650.86+330946.5,21.71196,33.16293
SDSSJ012139.62+334704.3,20.41512,33.78453
SDSSJ012444.57+323714.3,21.18571,32.62065
SDSSJ012429.65+323611.1,21.12356,32.6031
SDSSJ012118.58+324740.1,20.32745,32.79448
SDSSJ012031.78+332525.5,20.13243,33.42377
2MASSJ01205461+3254125,20.22778,32.90352
SDSSJ012354.10+323451.3,20.97544,32.58094
2MASSJ01204348+3258230,20.18113,32.97301
2MASSJ01242228+3235371,21.09287,32.5937
SDSSJ012043.96+333311.6,20.18321,33.55324
SDSSJ012041.55+325852.8,20.17316,32.98136
SDSSJ012332.00+323427.4,20.88335,32.5743
2MASXJ01202451+3318492,20.10208,33.31361
2MASSJ01255400+3245185,21.47491,32.75512
SDSSJ012238.32+335432.5,20.65969,33.90905
2MASSJ01264713+3302311,21.69637,33.04198
WHLJ012647.1+330231,21.69637,33.04198
SDSSJ012241.82+323555.9,20.67428,32.59888
2MASXJ01231195+3234253,20.79992,32.57367
SDSSJ012152.98+335014.0,20.47075,33.83724
SDSSJ012024.76+330834.2,20.10318,33.14284
SDSSJ012657.16+331852.7,21.73905,33.31471
SDSSJ012436.04+335511.1,21.1502,33.91975
SDSSJ012136.11+324256.6,20.40044,32.71565
SDSSJ012235.26+323558.2,20.64817,32.59912
SDSSJ012259.15+335609.4,20.74648,33.93594
SDSSJ012523.93+335058.5,21.34973,33.84961
SDSSJ012159.44+335126.8,20.49768,33.85746
2MASSJ01235405+3233405,20.97525,32.56126
SDSSJ012650.97+332805.3,21.7124,33.46815
SDSSJ012632.41+333647.2,21.63505,33.61313
SDSSJ012557.18+334558.6,21.48828,33.76628
SDSSJ012021.83+332213.4,20.09098,33.37041
2MASXJ01223002+3354432,20.62517,33.91206
SDSSJ012121.45+334553.4,20.33938,33.76485
GALEXASCJ012037.86+333326.7,20.1575,33.55722
SDSSJ012028.87+330207.4,20.1203,33.0354
SDSSJ012237.87+335532.4,20.65783,33.92567
2MASSJ01222469+3354338,20.60297,33.90935
SDSSJ012359.57+323319.4,20.99802,32.55511
2MASXJ01235927+3233121,20.99708,32.55339
SDSSJ012552.58+334733.9,21.46911,33.79276
SDSSJ012437.96+335607.0,21.15818,33.9353
2MASSJ01201883+3308217,20.07842,33.13943
2MASSJ01213714+3349310,20.4048,33.82535
SDSSJ012119.96+324413.2,20.33319,32.73701
WHLJ012016.2+332044,20.06769,33.34559
2MASSJ01201621+3320443,20.06768,33.34559
SDSSJ012229.12+335538.6,20.62133,33.92741
RMJ012016.2+332044.1,20.06769,33.34559
SDSSJ012202.17+335310.6,20.50908,33.88631
SDSSJ012246.29+335655.3,20.69289,33.94871
SDSSJ012030.12+325850.4,20.12543,32.98079
SDSSJ012459.18+335507.7,21.24661,33.91881
SDSSJ012410.58+335757.8,21.04412,33.96607
SDSSJ012218.75+335500.0,20.57816,33.91669
SDSSJ012015.28+331014.1,20.06367,33.1706
SDSSJ012701.82+330647.7,21.7576,33.11325
SDSSJ012453.77+335538.2,21.22405,33.92729
SDSSJ012235.04+335620.0,20.646,33.9389
SDSSJ012037.34+333537.3,20.1556,33.5937
2MASSJ01205494+3249289,20.22898,32.82487
SDSSJ012653.24+330014.0,21.72184,33.00391
SDSSJ012336.95+335848.0,20.90399,33.98001
SDSSJ012043.54+333845.3,20.18144,33.64592
SDSSJ012055.02+324846.3,20.22922,32.81299
SDSSJ012619.92+324729.5,21.58301,32.79154
2MASSJ01264769+3334354,21.69869,33.57646
SDSSJ012653.50+325839.0,21.72295,32.9775
SDSSJ012340.69+323130.7,20.91957,32.5252
SDSSJ012617.25+324626.2,21.57191,32.77396
2MASXJ01254842+3240414,21.45179,32.67808
SDSSJ012606.39+334656.5,21.52664,33.78238
WHLJ012548.4+324041,21.45176,32.67801
SDSSJ012710.05+331512.8,21.79191,33.25358
SDSSJ012309.78+335853.1,20.79078,33.98143
SDSSJ012047.86+325005.0,20.19945,32.83475
SDSSJ012209.31+335509.3,20.5388,33.91926
CGCG521-011,20.70292,33.96833
SDSSJ012447.95+335704.6,21.19982,33.9513
2MASSJ01265216+3257101,21.71738,32.95287
WHLJ012652.2+325710,21.71737,32.95287
SDSSJ012010.41+330924.0,20.04339,33.15669
SDSSJ012149.49+335309.5,20.45624,33.88599
WHLJ012233.8+335725,20.6408,33.95699
RMJ012233.8+335725.2,20.6408,33.95699
2MASSJ01265946+3300190,21.74773,33.00536
SDSSJ012023.03+325846.7,20.09599,32.97966
SDSSJ012222.96+335649.0,20.59567,33.94695
SDSSJ012419.37+323138.4,21.08073,32.52734
SDSSJ012204.55+323535.5,20.51896,32.59322
SDSSJ012058.95+334439.5,20.24566,33.74431
SDSSJ012230.70+335731.2,20.62792,33.95869
WHLJ012230.7+335731,20.62792,33.95869
SDSSJ012008.17+332121.2,20.03406,33.35591
