ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
2MFGC02715,1237661059574203219,49.647606950302105,41.66702695586721,3629,301,1,65,GALAXY,15.832770000000002,14.573960000000001,13.96367,13.66267,13.57555,0.025518,
2MASXJ03182094+4127487,1237661055281725582,49.5872989276823,41.46351321684671,3628,301,1,103,GALAXY,17.04081,14.800460000000001,14.00983,13.5872,13.426570000000002,0.016455,
2MASXJ03181889+4128097,1237661055281725581,49.578865289995896,41.469367158355,3628,301,1,103,GALAXY,17.12354,15.313189999999999,14.53606,14.117170000000002,13.83935,0.011821,
2MASXJ03203209+4145305,1237661055818663051,50.1336678620696,41.758470709165294,3628,301,2,104,GALAXY,16.97725,15.20081,14.392539999999999,13.98833,13.71025,0.016718,
CGCG540-087,1237661055281725940,49.5937534670164,41.4097756381396,3628,301,1,103,GALAXY,15.69447,13.91322,13.08879,12.67223,12.324110000000001,0.021575,
2MASXJ03204603+4144055,1237661055818662522,50.191642619450995,41.7349372552805,3628,301,2,104,GALAXY,17.06083,15.293289999999999,14.50586,14.125720000000001,13.858220000000001,0.017876,
CGCG540-113,1237661059574465017,50.3368369796257,41.4600597367946,3629,301,1,69,GALAXY,16.12432,14.16685,13.3227,12.96735,12.64301,0.014713999999999998,
2MASXJ03190434+4113581,1237661083199275362,49.76793671115271,41.232850196600396,3634,301,5,107,GALAXY,16.95874,15.48714,14.44544,14.203520000000001,14.02951,0.018283,
2MASXJ03212883+4132129,1237661055818793115,50.3700287078391,41.536951511645896,3628,301,2,106,GALAXY,16.67605,14.77525,13.9233,13.5295,13.25373,0.019827,
2MASXJ03182768+4119167,1237661122387968730,49.615225883289206,41.3213174252472,3643,301,6,63,GALAXY,18.58815,16.87557,16.11761,15.745389999999999,15.511429999999999,0.018787,SPEC
2MASXJ03203393+4113185,1237661055281923151,50.1414808228767,41.2218467088852,3628,301,1,106,GALAXY,18.40383,16.8037,16.05261,15.723270000000001,15.473320000000001,0.022747,SPEC
